drug.me	AD.composite.score.repurposed	AD.ranking.repurposed	AD.composite.score.trials	AD.ranking.trials	AD.weighted_sum	AD.rank_of_weighted_sum	PD.composite.score.repurposed	PD.ranking.repurposed	PD.composite.score.trials	PD.ranking.trials	PD.weighted.sum	PD.ranking.of.weighted.sum	HD.composite.score.repurposed	HD.ranking.repurposed	HD.composite.score.trials	HD.ranking.trials	HD_weighted_sum	HD_rank_of_weighted_sum	MS.composite.score.repurposed	MS.ranking.repurposed	MS.composite.score.trials	MS.ranking.trials	MS.weighted.sum	MS.ranking.weighted.sum
ketanserin	0.862148978	1	0.6	124	0.731074489	10	0.712854569	61	0.633333333	155	0.673093951	18	0	2722	0.333333333	1145	0.166666667	1338	0.289142857	719	0.293333333	362	0.291238095	323
agomelatine	0.826799878	2	0.871428571	2	0.849114225	1	0.715754307	60	0.3	1257	0.507877154	240	0	1205	0	1699	0	2228	0.4	50	0	1495	0.2	561
mirtazapine	0.822247032	3	0.871428571	4	0.846837802	2	0.758245942	37	0.3	1325	0.529122971	211	0	3042	0	2967	0	3505	0.4	261	0	3200	0.2	748
cyamemazine	0.811794692	4	0.7	21	0.755897346	7	0.57166538	313	0.7	51	0.63583269	65	0.173333333	896	0.4	377	0.286666667	507	0.4	122	0	2152	0.2	624
mianserin	0.794279553	5	0.801428571	7	0.797854062	5	0.669484037	167	0.7	69	0.684742019	10	0	3026	0.4	578	0.2	967	0.4	260	0.24	685	0.32	135
vortioxetine	0.787125081	6	0.871428571	5	0.829276826	3	0.685484037	159	0.55	227	0.617742019	92	0	4302	0.3	1321	0.15	1496	0.294857143	664	0	4433	0.147428572	1121
blonserin	0.783907241	7	0.65	85	0.716953621	14	0.532962677	422	0.633333333	154	0.583148005	113	0.533333333	17	0.6	119	0.566666667	23	0.347428571	455	0.346666667	110	0.347047619	31
paliperidone	0.783907241	8	0.65	90	0.716953621	15	0.532962677	426	0.633333333	163	0.583148005	117	0.533333333	34	0.6	149	0.566666667	34	0.347428571	470	0.346666667	223	0.347047619	43
aripiprazole	0.783222642	9	0.871428571	3	0.827325607	4	0.631429983	210	0.616666667	173	0.624048325	89	0.173333333	893	0.366666667	871	0.27	537	0.294857143	526	0.293333333	325	0.294095238	283
lurasidone	0.780004802	10	0.65	86	0.715002401	28	0.532962677	424	0.633333333	158	0.583148005	115	0.533333333	29	0.6	141	0.566666667	30	0.347428571	463	0.346666667	190	0.347047619	36
