indication	p_value	Freq	count_lists_with_drugs	normalised_freq.freq.max.	normalised_count_lists_with_drugs	sum_of_norm_freq_norm_count_lists	product_of_norm_freq_norm_count_lists	score
hypertension	0.005361302	59	19	1	1	2	1	1
schizophrenia	7e-07	32	16	0.542372881	0.842105263	1.384478145	0.456735058	0.7222123102
depression	0.001022607	26	14	0.440677966	0.736842105	1.177520071	0.32471008	0.6183764494
rheumatoid arthritis	0.102589865	24	16	0.406779661	0.842105263	1.248884924	0.342551293	0.6679750222
congestive heart failure	0.004448103	22	11	0.372881356	0.578947368	0.951828724	0.21587868	0.4965209632
osteoarthritis	0.002427093	21	13	0.355932203	0.684210526	1.04014273	0.24353256	0.5528991968
Parkinson's Disease	0.000462275	19	7	0.322033898	0.368421053	0.690454951	0.118644068	0.349866191
breast cancer	0.043165325	18	12	0.305084746	0.631578947	0.936663693	0.192685103	0.5009812666
seizures	1.21e-06	18	11	0.305084746	0.578947368	0.884032114	0.176628011	0.4694023192
bipolar disorder	0	17	9	0.288135593	0.473684211	0.761819804	0.136485281	0.3994647638
diabetes mellitus	0.082479454	17	10	0.288135593	0.526315789	0.814451383	0.151650312	0.4310437106
non-small cell lung cancer (NSCLC)	3.23e-06	17	10	0.288135593	0.526315789	0.814451383	0.151650312	0.4310437106
acute lymphoblastic leukemia (ALL)	7.78e-07	14	11	0.237288136	0.578947368	0.816235504	0.137377342	0.4422836752
chronic myeloid leukemia (CML)	0	14	10	0.237288136	0.526315789	0.763603925	0.124888492	0.4107047278
ulcerative colitis	0.001762263	13	10	0.220338983	0.526315789	0.746654773	0.115967886	0.4039250666
urinary tract infections	0.998945808	12	7	0.203389831	0.368421053	0.571810883	0.074933095	0.3024085642
asthma	0.919458598	11	8	0.186440678	0.421052632	0.60749331	0.078501338	0.3272078504
gastrointestinal stromal tumors (GIST)	0	11	8	0.186440678	0.421052632	0.60749331	0.078501338	0.3272078504
malaria	0.118650872	11	5	0.186440678	0.263157895	0.449598573	0.049063336	0.2324710082
myocardial infarction	0.01359806	11	7	0.186440678	0.368421053	0.554861731	0.068688671	0.295628903
allergic rhinitis	0.99175709	10	10	0.169491525	0.526315789	0.695807315	0.089206066	0.3835860834
ankylosing spondylitis	0	10	8	0.169491525	0.421052632	0.590544157	0.071364853	0.3204281892
headache	0.002178754	10	9	0.169491525	0.473684211	0.643175736	0.080285459	0.3520071366
psoriasis	0.14312375	10	8	0.169491525	0.421052632	0.590544157	0.071364853	0.3204281892
skin infections	0.999801455	10	8	0.169491525	0.421052632	0.590544157	0.071364853	0.3204281892
epilepsy	0.010424053	9	9	0.152542373	0.473684211	0.626226583	0.072256913	0.3452274758
migraine headache	0.100237803	9	6	0.152542373	0.315789474	0.468331847	0.048171276	0.2504906336
pneumonia	0.977392658	9	6	0.152542373	0.315789474	0.468331847	0.048171276	0.2504906336
renal cell carcinoma (RCC)	0	9	4	0.152542373	0.210526316	0.363068689	0.032114184	0.1873327388
edema	0.209375005	8	5	0.13559322	0.263157895	0.398751115	0.035682426	0.212132025
fever	0.368124923	8	6	0.13559322	0.315789474	0.451382694	0.042818912	0.2437109724
hyperlipidemia	0.022262978	8	4	0.13559322	0.210526316	0.346119536	0.028545941	0.1805530776
acute myeloid leukemia (AML)	0.151022646	7	6	0.118644068	0.315789474	0.434433541	0.037466548	0.2369313116
glaucoma	0.843152359	7	4	0.118644068	0.210526316	0.329170384	0.024977698	0.1737734168
multiple myeloma	0.199973399	7	5	0.118644068	0.263157895	0.381801963	0.031222123	0.2053523642
muscle pain	0.254034033	7	6	0.118644068	0.315789474	0.434433541	0.037466548	0.2369313116
ventricular arrhythmias	0.073262439	7	6	0.118644068	0.315789474	0.434433541	0.037466548	0.2369313116
bursitis	0	6	6	0.101694915	0.315789474	0.417484389	0.032114184	0.2301516504
colorectal cancer	0.134472898	6	6	0.101694915	0.315789474	0.417484389	0.032114184	0.2301516504
conjunctivitis	0.925501262	6	6	0.101694915	0.315789474	0.417484389	0.032114184	0.2301516504
coronary artery disease (CAD)	0.308961168	6	5	0.101694915	0.263157895	0.36485281	0.02676182	0.198572703
coronary heart disease	0	6	6	0.101694915	0.315789474	0.417484389	0.032114184	0.2301516504
cutaneous T-cell lymphoma (CTCL)	0	6	6	0.101694915	0.315789474	0.417484389	0.032114184	0.2301516504
enteritis	0.308961168	6	5	0.101694915	0.263157895	0.36485281	0.02676182	0.198572703
erectile dysfunction	0.029742447	6	2	0.101694915	0.105263158	0.206958073	0.010704728	0.1038358608
gram-negative bacterial infections	0.999594431	6	6	0.101694915	0.315789474	0.417484389	0.032114184	0.2301516504
hypercholesterolemia	0.013416507	6	4	0.101694915	0.210526316	0.312221231	0.021409456	0.1669937556
multiple sclerosis	0.439982811	6	5	0.101694915	0.263157895	0.36485281	0.02676182	0.198572703
nausea	0.925501262	6	5	0.101694915	0.263157895	0.36485281	0.02676182	0.198572703
nephrotic syndrome	0.029742447	6	5	0.101694915	0.263157895	0.36485281	0.02676182	0.198572703
osteoporosis	0.37435383	6	5	0.101694915	0.263157895	0.36485281	0.02676182	0.198572703
thyroid cancer	0	6	4	0.101694915	0.210526316	0.312221231	0.021409456	0.1669937556
tinea pedis	0.308961168	6	3	0.101694915	0.157894737	0.259589652	0.016057092	0.1354148082
vomiting	0.835987248	6	5	0.101694915	0.263157895	0.36485281	0.02676182	0.198572703
acne vulgaris (AV)	0.449502802	5	4	0.084745763	0.210526316	0.295272079	0.017841213	0.1602140948
aggressive systemic mastocytosis (ASM)	0	5	5	0.084745763	0.263157895	0.347903657	0.022301517	0.1917930422
chronic eosinophilic leukemia (CEL)	0	5	5	0.084745763	0.263157895	0.347903657	0.022301517	0.1917930422
chronic obstructive pulmonary disease (COPD)	0.449502802	5	4	0.084745763	0.210526316	0.295272079	0.017841213	0.1602140948
corticosteroid-responsive dermatoses	0.86026228	5	4	0.084745763	0.210526316	0.295272079	0.017841213	0.1602140948
cough suppressant	0.750086131	5	4	0.084745763	0.210526316	0.295272079	0.017841213	0.1602140948
dermatofibrosarcoma protuberans (DFSP)	0	5	5	0.084745763	0.263157895	0.347903657	0.022301517	0.1917930422
eczema	0.585873522	5	4	0.084745763	0.210526316	0.295272079	0.017841213	0.1602140948
hypereosinophilic syndrome (HES)	0	5	5	0.084745763	0.263157895	0.347903657	0.022301517	0.1917930422
hypoparathyroidism	0	5	4	0.084745763	0.210526316	0.295272079	0.017841213	0.1602140948
irritability	0	5	5	0.084745763	0.263157895	0.347903657	0.022301517	0.1917930422
