moa	p_value	Freq	count_lists_with_drugs	normalised_freq.freq.max.	normalised_count_lists_with_drugs	sum_of_norm_freq_norm_count_lists	product_of_norm_freq_norm_count_lists	score
PDGFR tyrosine kinase receptor inhibitor	0	34	13	0.918918919	0.684210526	1.603129445	0.628733997	0.7780938832
KIT inhibitor	0	27	12	0.72972973	0.631578947	1.361308677	0.460881935	0.6708392602
RET tyrosine kinase inhibitor	0	14	8	0.378378378	0.421052632	0.79943101	0.159317212	0.4039829304
ephrin inhibitor	0	5	5	0.135135135	0.263157895	0.39829303	0.035561878	0.211948791
SIRT activator	0	4	4	0.108108108	0.210526316	0.318634424	0.022759602	0.1695590328
oxazolidine antiepileptic	0	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
vitamin analog	0	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
carboxamide antiepileptic	0	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
angiotensin converting enzyme inhibitor	5.62e-15	21	2	0.567567568	0.105263158	0.672830725	0.059743954	0.290184922
VEGFR inhibitor	9.72e-12	28	9	0.756756757	0.473684211	1.230440967	0.358463727	0.5869132294
Bcr-Abl kinase inhibitor	5.16e-10	13	9	0.351351351	0.473684211	0.825035562	0.166429587	0.424751067
insulin sensitizer	2.5e-09	10	8	0.27027027	0.421052632	0.691322902	0.113798009	0.3607396872
FGFR inhibitor	5.19e-09	14	6	0.378378378	0.315789474	0.694167852	0.119487909	0.3408250356
dopamine receptor antagonist	1.06e-07	33	14	0.891891892	0.736842105	1.628733997	0.657183499	0.7988620198
HMGCR inhibitor	2.7e-06	9	5	0.243243243	0.263157895	0.506401138	0.06401138	0.2551920342
cyclooxygenase inhibitor	3.16e-06	37	16	1	0.842105263	1.842105263	0.842105263	0.9052631578
FLT3 inhibitor	3.63e-06	13	6	0.351351351	0.315789474	0.667140825	0.110953058	0.3300142248
serotonin receptor antagonist	8.12e-06	34	19	0.918918919	1	1.918918919	0.918918919	0.9675675676
EGFR inhibitor	9.59e-05	20	7	0.540540541	0.368421053	0.908961593	0.199146515	0.4372688482
dopamine receptor agonist	0.000149944	16	5	0.432432432	0.263157895	0.695590327	0.113798009	0.3308677098
acetylcholinesterase inhibitor	0.000166867	12	4	0.324324324	0.210526316	0.53485064	0.068278805	0.2560455192
retinoid receptor agonist	0.000330074	10	4	0.27027027	0.210526316	0.480796586	0.056899004	0.2344238976
vitamin D receptor agonist	0.000766946	7	2	0.189189189	0.105263158	0.294452347	0.019914651	0.1388335704
sulfonylurea	0.002652171	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
norepinephrine reuptake inhibitor	0.003922159	5	5	0.135135135	0.263157895	0.39829303	0.035561878	0.211948791
tricyclic antidepressant	0.004352363	4	2	0.108108108	0.105263158	0.213371266	0.011379801	0.106401138
ATP channel blocker	0.004352363	4	2	0.108108108	0.105263158	0.213371266	0.011379801	0.106401138
proteasome inhibitor	0.00695626	5	3	0.135135135	0.157894737	0.293029872	0.021337127	0.1487908962
cholinesterase inhibitor	0.00695626	5	2	0.135135135	0.105263158	0.240398293	0.014224751	0.1172119488
PABA antagonist	0.009045518	4	4	0.108108108	0.210526316	0.318634424	0.022759602	0.1695590328
Abl kinase inhibitor	0.009045518	4	3	0.108108108	0.157894737	0.266002845	0.017069701	0.1379800854
HDAC inhibitor	0.009501099	13	9	0.351351351	0.473684211	0.825035562	0.166429587	0.424751067
microtubule inhibitor	0.011420801	6	2	0.162162162	0.105263158	0.26742532	0.017069701	0.1280227596
serotonin reuptake inhibitor	0.016124327	4	4	0.108108108	0.210526316	0.318634424	0.022759602	0.1695590328
anthelmintic agent	0.016124327	4	3	0.108108108	0.157894737	0.266002845	0.017069701	0.1379800854
T-type calcium channel blocker	0.016124327	4	3	0.108108108	0.157894737	0.266002845	0.017069701	0.1379800854
glucocorticoid receptor agonist	0.016158459	13	9	0.351351351	0.473684211	0.825035562	0.166429587	0.424751067
angiotensin receptor antagonist	0.016172588	6	2	0.162162162	0.105263158	0.26742532	0.017069701	0.1280227596
lanosterol demethylase inhibitor	0.019177893	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
lipoprotein lipase activator	0.019177893	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
norepinephrine inhibitor	0.019177893	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
osteoclast inhibitor	0.019177893	2	1	0.054054054	0.052631579	0.106685633	0.00284495	0.053200569
adrenergic inhibitor	0.021328622	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
RAF inhibitor	0.031392649	7	6	0.189189189	0.315789474	0.504978663	0.059743954	0.26514936
sterol demethylase inhibitor	0.03435718	5	2	0.135135135	0.105263158	0.240398293	0.014224751	0.1172119488
catechol O methyltransferase inhibitor	0.038304882	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
purine antagonist	0.038304882	3	2	0.081081081	0.105263158	0.186344239	0.008534851	0.0955903272
androgen biosynthesis inhibitor	0.052229336	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
GLP receptor agonist	0.052229336	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
histone acetyltransferase inhibitor	0.052229336	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
lipase inhibitor	0.052229336	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
retinoid receptor ligand	0.052229336	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
uricosuric blocker	0.052229336	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
adenylyl cyclase activator	0.052229336	2	1	0.054054054	0.052631579	0.106685633	0.00284495	0.053200569
antimalarial agent	0.059303906	5	2	0.135135135	0.105263158	0.240398293	0.014224751	0.1172119488
SRC inhibitor	0.05992114	6	6	0.162162162	0.315789474	0.477951636	0.051209104	0.2543385492
chloride channel blocker	0.060249404	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
serotonin?€“norepinephrine reuptake inhibitor (SNRI)	0.060249404	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
adrenergic receptor antagonist	0.069186635	22	12	0.594594595	0.631578947	1.226173542	0.375533428	0.6167852062
aldose reductase inhibitor	0.072455522	4	1	0.108108108	0.052631579	0.160739687	0.0056899	0.0748221906
tyrosine kinase inhibitor	0.082340921	7	6	0.189189189	0.315789474	0.504978663	0.059743954	0.26514936
calcium channel blocker	0.086406818	11	7	0.297297297	0.368421053	0.66571835	0.109530583	0.3399715506
antitussive	0.086724451	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
selective serotonin reuptake inhibitor (SSRI)	0.093612125	4	4	0.108108108	0.210526316	0.318634424	0.022759602	0.1695590328
fatty acid synthase inhibitor	0.094949304	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
sodium/potassium/chloride transporter inhibitor	0.094949304	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
topical sunscreen agent	0.094949304	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
PKC inhibitor	0.111591929	5	4	0.135135135	0.210526316	0.345661451	0.028449502	0.1803698436
tubulin polymerization inhibitor	0.115487461	8	3	0.216216216	0.157894737	0.374110953	0.034139403	0.1812233286
bacterial DNA inhibitor	0.117143646	3	1	0.081081081	0.052631579	0.13371266	0.004267425	0.0640113798
serotonin receptor agonist	0.126235491	14	9	0.378378378	0.473684211	0.852062589	0.179231863	0.4355618778
sodium channel blocker	0.131839082	10	7	0.27027027	0.368421053	0.638691323	0.099573257	0.3291607398
anti-pneumocystis agent	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
antibacterial agent	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
antifibrinolytic	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
aromatic L-amino acid decarboxylase inhibitor	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
atherogenesis inhibitor	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
cosmetic	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
DeltaF508-CFTR Correctors	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
