pathway	p_value	Freq.x	normalised_freq	score
Notch signaling pathway	0.000619512	7	0.175	0.175
Alzheimer disease	0.000963179	36	0.9	0.9
Pathways of neurodegeneration	0.001195937	38	0.95	0.95
Nicotine addiction	0.00164487	13	0.325	0.325
Propanoate metabolism	0.007527567	4	0.1	0.1
PPAR signaling pathway	0.007872456	9	0.225	0.225
Serotonergic synapse	0.01010039	30	0.75	0.75
Ovarian steroidogenesis	0.011379814	12	0.3	0.3
Pyruvate metabolism	0.016485483	4	0.1	0.1
Circadian rhythm	0.020393646	3	0.075	0.075
Arachidonic acid metabolism	0.024850357	11	0.275	0.275
Glycerophospholipid metabolism	0.028514003	6	0.15	0.15
Huntington disease	0.037376909	16	0.4	0.4
AMPK signaling pathway	0.04532911	16	0.4	0.4
NF-kappa B signaling pathway	0.046464666	13	0.325	0.325
Cholesterol metabolism	0.047495555	3	0.075	0.075
Dopaminergic synapse	0.048680306	20	0.5	0.5
Viral myocarditis	0.049108132	4	0.1	0.1
Retrograde endocannabinoid signaling	0.04984512	17	0.425	0.425
Glucagon signaling pathway	0.071207375	8	0.2	0.2
Cortisol synthesis and secretion	0.079867003	6	0.15	0.15
Leishmaniasis	0.082806306	12	0.3	0.3
C-type lectin receptor signaling pathway	0.083585492	15	0.375	0.375
Bile secretion	0.085122021	10	0.25	0.25
Chemical carcinogenesis	0.085312624	32	0.8	0.8
Mineral absorption	0.089174226	4	0.1	0.1
Non-alcoholic fatty liver disease	0.0937358	13	0.325	0.325
Fatty acid biosynthesis	0.099140025	2	0.05	0.05
IL-17 signaling pathway	0.101168778	12	0.3	0.3
Synaptic vesicle cycle	0.110664057	6	0.15	0.15
Phototransduction	0.117412378	2	0.05	0.05
Hypertrophic cardiomyopathy	0.117459155	6	0.15	0.15
Insulin secretion	0.125000956	11	0.275	0.275
Neurotrophin signaling pathway	0.128791815	13	0.325	0.325
Wnt signaling pathway	0.132938624	7	0.175	0.175
TNF signaling pathway	0.144174335	13	0.325	0.325
Asthma	0.146192185	2	0.05	0.05
Fatty acid degradation	0.146192185	2	0.05	0.05
Fat digestion and absorption	0.160003689	3	0.075	0.075
Human papillomavirus infection	0.16466136	21	0.525	0.525
Small cell lung cancer	0.165330149	13	0.325	0.325
Salivary secretion	0.165799386	14	0.35	0.35
Ferroptosis	0.166093046	2	0.05	0.05
Carbohydrate digestion and absorption	0.178706418	6	0.15	0.15
Adipocytokine signaling pathway	0.190764087	9	0.225	0.225
Alanine, aspartate and glutamate metabolism	0.207071314	2	0.05	0.05
Terpenoid backbone biosynthesis	0.207071314	2	0.05	0.05
Glycolysis / Gluconeogenesis	0.217484376	2	0.05	0.05
VEGF signaling pathway	0.220240925	13	0.325	0.325
Oxytocin signaling pathway	0.226285043	15	0.375	0.375
Homologous recombination	0.227050179	1	0.025	0.025
Lipid and atherosclerosis	0.227147134	18	0.45	0.45
Phosphatidylinositol signaling system	0.236968126	4	0.1	0.1
Amphetamine addiction	0.24289537	12	0.3	0.3
Parkinson disease	0.242968038	13	0.325	0.325
Renin-angiotensin system	0.247127163	3	0.075	0.075
Non-homologous end-joining	0.248856898	1	0.025	0.025
Aldosterone synthesis and secretion	0.249989638	6	0.15	0.15
Cholinergic synapse	0.252771652	15	0.375	0.375
Thyroid hormone signaling pathway	0.253839227	14	0.35	0.35
Diabetic cardiomyopathy	0.254656374	13	0.325	0.325
GnRH secretion	0.261615501	10	0.25	0.25
Longevity regulating pathway	0.261615501	10	0.25	0.25
Protein digestion and absorption	0.267826909	4	0.1	0.1
Regulation of lipolysis in adipocytes	0.269544761	13	0.325	0.325
Nicotinate and nicotinamide metabolism	0.269999624	2	0.05	0.05
Aminoacyl-tRNA biosynthesis	0.270048729	1	0.025	0.025
Ribosome biogenesis in eukaryotes	0.270048729	1	0.025	0.025
Morphine addiction	0.274979633	11	0.275	0.275
Kaposi sarcoma-associated herpesvirus infection	0.280884943	17	0.425	0.425
Inflammatory mediator regulation of TRP channels	0.286179193	16	0.4	0.4
Circadian entrainment	0.287042495	8	0.2	0.2
Prion disease	0.288414463	11	0.275	0.275
Cardiac muscle contraction	0.29310291	3	0.075	0.075
Thyroid cancer	0.293136977	6	0.15	0.15
Adrenergic signaling in cardiomyocytes	0.300232378	15	0.375	0.375
Arrhythmogenic right ventricular cardiomyopathy	0.300833094	3	0.075	0.075
Vascular smooth muscle contraction	0.309511175	13	0.325	0.325
Ubiquinone and other terpenoid-quinone biosynthesis	0.310656555	1	0.025	0.025
Platelet activation	0.322592831	12	0.3	0.3
Transcriptional misregulation in cancer	0.322755914	11	0.275	0.275
Ascorbate and aldarate metabolism	0.330105757	1	0.025	0.025
GABAergic synapse	0.330877677	7	0.175	0.175
Purine metabolism	0.333139466	5	0.125	0.125
Neutrophil extracellular trap formation	0.333233961	11	0.275	0.275
Thermogenesis	0.337358423	9	0.225	0.225
Systemic lupus erythematosus	0.339563291	3	0.075	0.075
ABC transporters	0.353451282	2	0.05	0.05
Insulin resistance	0.359622922	10	0.25	0.25
Legionellosis	0.362750815	3	0.075	0.075
Olfactory transduction	0.363684828	2	0.05	0.05
Alcoholism	0.364520948	14	0.35	0.35
Citrate cycle (TCA cycle)	0.367374279	1	0.025	0.025
Porphyrin and chlorophyll metabolism	0.367374279	1	0.025	0.025
Cell cycle	0.367444345	7	0.175	0.175
Taste transduction	0.380094354	13	0.325	0.325
Amyotrophic lateral sclerosis	0.382865521	11	0.275	0.275
Renin secretion	0.389704577	10	0.25	0.25
Butanoate metabolism	0.402570509	1	0.025	0.025
Human cytomegalovirus infection	0.413234666	19	0.475	0.475
Glyoxylate and dicarboxylate metabolism	0.419427758	1	0.025	0.025
Apelin signaling pathway	0.425027547	9	0.225	0.225
Long-term potentiation	0.426229224	8	0.2	0.2
ECM-receptor interaction	0.435809614	1	0.025	0.025
Phagosome	0.438699274	3	0.075	0.075
Spinocerebellar ataxia	0.447504293	8	0.2	0.2
Vitamin digestion and absorption	0.451729475	1	0.025	0.025
Osteoclast differentiation	0.453873081	10	0.25	0.25
Dilated cardiomyopathy	0.461046442	5	0.125	0.125
MicroRNAs in cancer	0.467324311	18	0.45	0.45
cAMP signaling pathway	0.468528944	28	0.7	0.7
Steroid hormone biosynthesis	0.489026818	4	0.1	0.1
Primary immunodeficiency	0.489634821	2	0.05	0.05
Cocaine addiction	0.491243219	10	0.25	0.25
Prolactin signaling pathway	0.494948785	10	0.25	0.25
T cell receptor signaling pathway	0.506224099	8	0.2	0.2
Antigen processing and presentation	0.507607634	2	0.05	0.05
beta-Alanine metabolism	0.511043981	1	0.025	0.025
Pentose and glucuronate interconversions	0.511043981	1	0.025	0.025
Glutamatergic synapse	0.52178501	7	0.175	0.175
Inositol phosphate metabolism	0.525161303	2	0.05	0.05
Neuroactive ligand-receptor interaction	0.531680127	40	1	1
Allograft rejection	0.538250893	1	0.025	0.025
Endocrine and other factor-regulated calcium reabsorption	0.548054834	4	0.1	0.1
Graft-versus-host disease	0.551281575	1	0.025	0.025
Gap junction	0.554340064	16	0.4	0.4
RIG-I-like receptor signaling pathway	0.558459527	3	0.075	0.075
Base excision repair	0.563944725	1	0.025	0.025
Pancreatic secretion	0.564772699	7	0.175	0.175
Pathogenic Escherichia coli infection	0.56897488	7	0.175	0.175
Acute myeloid leukemia	0.570689536	8	0.2	0.2
Long-term depression	0.570977406	5	0.125	0.125
Melanogenesis	0.575924394	5	0.125	0.125
Cell adhesion molecules	0.576250705	1	0.025	0.025
Hematopoietic cell lineage	0.577953635	3	0.075	0.075
alpha-Linolenic acid metabolism	0.588209583	1	0.025	0.025
