indication	p_value	Freq	normalised_freq	count_lists_with_drugs	normalised_count_lists_with_drugs	score
hypertension	0.086961822	6	1	2	1	1
breast cancer	0.001513163	5	0.833333333	2	1	0.9333333332
acute myeloid leukemia (AML)	0.000230422	4	0.666666667	1	0.5	0.5666666668
schizophrenia	0.02050633	4	0.666666667	2	1	0.8666666668
acute lymphoblastic leukemia (ALL)	0.003664124	3	0.5	1	0.5	0.5
diabetes mellitus	0.054133381	3	0.5	1	0.5	0.5
chronic kidney disease (CKD)	0.001363143	2	0.333333333	1	0.5	0.4333333332
congestive heart failure	0.237474083	2	0.333333333	1	0.5	0.4333333332
edema	0.062142519	2	0.333333333	1	0.5	0.4333333332
epilepsy	0.035438422	2	0.333333333	1	0.5	0.4333333332
Hodgkin's lymphoma	0.015032561	2	0.333333333	2	1	0.7333333332
hyperparathyroidism	0.006533136	2	0.333333333	1	0.5	0.4333333332
non-small cell lung cancer (NSCLC)	0.074245316	2	0.333333333	1	0.5	0.4333333332
ovarian cancer	0.018529476	2	0.333333333	2	1	0.7333333332
renal cell carcinoma (RCC)	0.009018612	2	0.333333333	2	1	0.7333333332
rheumatoid arthritis	0.381315855	2	0.333333333	2	1	0.7333333332
seizures	0.080557518	2	0.333333333	1	0.5	0.4333333332
Wilm's tumor	0.001363143	2	0.333333333	1	0.5	0.4333333332
angina pectoris	0.408741319	1	0.166666667	1	0.5	0.3666666668
bipolar disorder	0.263718642	1	0.166666667	1	0.5	0.3666666668
bladder cancer	0.103456732	1	0.166666667	1	0.5	0.3666666668
cervical cancer	0.02159383	1	0.166666667	1	0.5	0.3666666668
chronic immune thrombocytopenia (ITP)	0.02159383	1	0.166666667	1	0.5	0.3666666668
chronic lymphocytic leukemia (CLL)	0.178544942	1	0.166666667	1	0.5	0.3666666668
chronic myeloid leukemia (CML)	0.2137236	1	0.166666667	1	0.5	0.3666666668
claudication	0.141811925	1	0.166666667	1	0.5	0.3666666668
diabetic nephropathy	0.122841452	1	0.166666667	1	0.5	0.3666666668
Ewing's sarcoma	0.0427268	1	0.166666667	1	0.5	0.3666666668
gestational choriocarcinoma	0.02159383	1	0.166666667	1	0.5	0.3666666668
gestational trophoblastic disease (GTD)	0.02159383	1	0.166666667	1	0.5	0.3666666668
headache	0.263718642	1	0.166666667	1	0.5	0.3666666668
human immunodeficiency virus (HIV-1)	0.504110428	1	0.166666667	1	0.5	0.3666666668
hydatidiform mole	0.02159383	1	0.166666667	1	0.5	0.3666666668
hypercalcemia	0.2137236	1	0.166666667	1	0.5	0.3666666668
hyperglycemia	0.083648833	1	0.166666667	1	0.5	0.3666666668
hypoactive sexual desire disorder	0.0427268	1	0.166666667	1	0.5	0.3666666668
irritability	0.063408628	1	0.166666667	1	0.5	0.3666666668
melanoma	0.178544942	1	0.166666667	1	0.5	0.3666666668
multiple myeloma	0.295289987	1	0.166666667	1	0.5	0.3666666668
multiple sclerosis	0.310570225	1	0.166666667	1	0.5	0.3666666668
myocardial infarction	0.340155249	1	0.166666667	1	0.5	0.3666666668
nausea	0.470274434	1	0.166666667	1	0.5	0.3666666668
osteoarthritis	0.574979373	1	0.166666667	1	0.5	0.3666666668
parathyroid carcinoma	0.02159383	1	0.166666667	1	0.5	0.3666666668
Parkinson's Disease	0.493076064	1	0.166666667	1	0.5	0.3666666668
pneumonia	0.643781628	1	0.166666667	1	0.5	0.3666666668
prostate cancer	0.382196025	1	0.166666667	1	0.5	0.3666666668
psoriasis	0.395612657	1	0.166666667	1	0.5	0.3666666668
rhabdomyosarcoma	0.0427268	1	0.166666667	1	0.5	0.3666666668
small cell lung cancer	0.083648833	1	0.166666667	1	0.5	0.3666666668
testicular carcinoma	0.1603769	1	0.166666667	1	0.5	0.3666666668
Tourette's disorder	0.0427268	1	0.166666667	1	0.5	0.3666666668
vomiting	0.421588119	1	0.166666667	1	0.5	0.3666666668
