pathway	p_value	Freq.x	normalised_freq	count_lists_with_drugs	normalised_count_lists_with_drugs	score
Acute myeloid leukemia	0.094288485	11	0.423076923	2	0.666666667	0.5692307694
Adherens junction	0.899409923	3	0.115384615	1	0.333333333	0.2461538458
Adipocytokine signaling pathway	0.099422151	9	0.346153846	2	0.666666667	0.5384615386
Adrenergic signaling in cardiomyocytes	0.414270321	12	0.461538462	3	1	0.7846153848
African trypanosomiasis	0.521931363	2	0.076923077	2	0.666666667	0.430769231
AGE-RAGE signaling pathway in diabetic complications	0.163519181	12	0.461538462	3	1	0.7846153848
Alanine, aspartate and glutamate metabolism	0.520028228	1	0.038461538	1	0.333333333	0.215384615
Alcoholism	0.740165066	9	0.346153846	3	1	0.7384615384
Aldosterone-regulated sodium reabsorption	0.481411959	4	0.153846154	2	0.666666667	0.4615384618
Aldosterone synthesis and secretion	0.156725481	6	0.230769231	3	1	0.6923076924
Alzheimer disease	0.588502061	17	0.653846154	3	1	0.8615384616
Amoebiasis	0.127507429	7	0.269230769	2	0.666666667	0.5076923078
Amphetamine addiction	0.565879161	8	0.307692308	3	1	0.7230769232
AMPK signaling pathway	0.353220664	10	0.384615385	3	1	0.753846154
Amyotrophic lateral sclerosis	0.455071388	9	0.346153846	2	0.666666667	0.5384615386
Apelin signaling pathway	0.092604044	11	0.423076923	3	1	0.7692307692
Apoptosis	0.442581934	8	0.307692308	2	0.666666667	0.5230769234
Arachidonic acid metabolism	0.991985407	1	0.038461538	1	0.333333333	0.215384615
Arrhythmogenic right ventricular cardiomyopathy	0.810676243	1	0.038461538	1	0.333333333	0.215384615
Ascorbate and aldarate metabolism	0.290009066	1	0.038461538	1	0.333333333	0.215384615
Autophagy	0.36108195	7	0.269230769	2	0.666666667	0.5076923078
Axon guidance	0.119567905	10	0.384615385	3	1	0.753846154
B cell receptor signaling pathway	0.128175162	8	0.307692308	2	0.666666667	0.5230769234
Bacterial invasion of epithelial cells	0.340984164	4	0.153846154	1	0.333333333	0.2615384614
