pathway	p_value	Freq.x	normalised_freq	score
Amphetamine addiction	0.000278736	6	1	1
Dopaminergic synapse	0.001622217	6	1	1
Cocaine addiction	0.002122173	5	0.833333333	0.833333333
Parkinson disease	0.002980342	5	0.833333333	0.833333333
Synaptic vesicle cycle	0.003614559	3	0.5	0.5
Alcoholism	0.006358097	5	0.833333333	0.833333333
Glucagon signaling pathway	0.007918521	3	0.5	0.5
Systemic lupus erythematosus	0.015906189	2	0.333333333	0.333333333
RNA transport	0.031023614	1	0.166666667	0.166666667
cAMP signaling pathway	0.04277874	6	1	1
Fatty acid biosynthesis	0.048676912	1	0.166666667	0.166666667
Ras signaling pathway	0.053372649	4	0.666666667	0.666666667
Circadian rhythm	0.053661731	1	0.166666667	0.166666667
Ferroptosis	0.066010473	1	0.166666667	0.166666667
AMPK signaling pathway	0.066865971	3	0.5	0.5
Propanoate metabolism	0.070905	1	0.166666667	0.166666667
Nicotine addiction	0.079124241	2	0.333333333	0.333333333
Pyruvate metabolism	0.087835915	1	0.166666667	0.166666667
Nicotinate and nicotinamide metabolism	0.090229449	1	0.166666667	0.166666667
Rap1 signaling pathway	0.092247676	4	0.666666667	0.666666667
Serotonergic synapse	0.101458383	4	0.666666667	0.666666667
Circadian entrainment	0.11481	2	0.333333333	0.333333333
Adipocytokine signaling pathway	0.119090878	2	0.333333333	0.333333333
Viral myocarditis	0.120783083	1	0.166666667	0.166666667
Glycine, serine and threonine metabolism	0.127687788	1	0.166666667	0.166666667
Glutamatergic synapse	0.132162813	2	0.333333333	0.333333333
Long-term potentiation	0.143743036	2	0.333333333	0.333333333
Spinocerebellar ataxia	0.14825268	2	0.333333333	0.333333333
Longevity regulating pathway	0.165637321	2	0.333333333	0.333333333
Legionellosis	0.181019621	1	0.166666667	0.166666667
Insulin resistance	0.190897572	2	0.333333333	0.333333333
Non-alcoholic fatty liver disease	0.190897572	2	0.333333333	0.333333333
Viral protein interaction with cytokine and cytokine receptor	0.193838089	1	0.166666667	0.166666667
Morphine addiction	0.199431223	2	0.333333333	0.333333333
Prion disease	0.203238764	2	0.333333333	0.333333333
Protein digestion and absorption	0.216822809	1	0.166666667	0.166666667
Arginine and proline metabolism	0.225018374	1	0.166666667	0.166666667
Amyotrophic lateral sclerosis	0.229127191	2	0.333333333	0.333333333
Huntington disease	0.229127191	2	0.333333333	0.333333333
Cortisol synthesis and secretion	0.243148017	1	0.166666667	0.166666667
Hematopoietic cell lineage	0.243148017	1	0.166666667	0.166666667
Salivary secretion	0.253287065	2	0.333333333	0.333333333
Rheumatoid arthritis	0.256956835	1	0.166666667	0.166666667
Hypertrophic cardiomyopathy	0.266666662	1	0.166666667	0.166666667
Cytokine-cytokine receptor interaction	0.274343625	1	0.166666667	0.166666667
PPAR signaling pathway	0.274343625	1	0.166666667	0.166666667
FoxO signaling pathway	0.282348164	2	0.333333333	0.333333333
Taste transduction	0.293955965	2	0.333333333	0.333333333
Purine metabolism	0.298746256	1	0.166666667	0.166666667
Adrenergic signaling in cardiomyocytes	0.333369056	2	0.333333333	0.333333333
Pathways of neurodegeneration	0.342898991	3	0.5	0.5
Calcium signaling pathway	0.343313288	4	0.666666667	0.666666667
Inflammatory mediator regulation of TRP channels	0.359935237	2	0.333333333	0.333333333
Amoebiasis	0.365497804	1	0.166666667	0.166666667
Melanogenesis	0.377086387	1	0.166666667	0.166666667
Tight junction	0.393277439	1	0.166666667	0.166666667
Cell cycle	0.419847755	1	0.166666667	0.166666667
Gap junction	0.444946174	2	0.333333333	0.333333333
Epithelial cell signaling in Helicobacter pylori infection	0.449629508	1	0.166666667	0.166666667
MicroRNAs in cancer	0.479579553	2	0.333333333	0.333333333
Pathogenic Escherichia coli infection	0.484728055	1	0.166666667	0.166666667
NOD-like receptor signaling pathway	0.491476039	1	0.166666667	0.166666667
Insulin secretion	0.498136171	1	0.166666667	0.166666667
Chronic myeloid leukemia	0.50077588	1	0.166666667	0.166666667
Thermogenesis	0.503401787	1	0.166666667	0.166666667
Axon guidance	0.507314926	1	0.166666667	0.166666667
Parathyroid hormone synthesis, secretion and action	0.509906641	1	0.166666667	0.166666667
NF-kappa B signaling pathway	0.511197412	1	0.166666667	0.166666667
Neuroactive ligand-receptor interaction	0.514393432	4	0.666666667	0.666666667
Gastric acid secretion	0.516326789	1	0.166666667	0.166666667
GnRH secretion	0.518871377	1	0.166666667	0.166666667
IL-17 signaling pathway	0.521402657	1	0.166666667	0.166666667
Apelin signaling pathway	0.531396078	1	0.166666667	0.166666667
Acute myeloid leukemia	0.532630581	1	0.166666667	0.166666667
Cushing syndrome	0.547194836	1	0.166666667	0.166666667
Insulin signaling pathway	0.549577961	1	0.166666667	0.166666667
ErbB signaling pathway	0.551948618	1	0.166666667	0.166666667
Alzheimer disease	0.569929412	2	0.333333333	0.333333333
Neurotrophin signaling pathway	0.57273405	1	0.166666667	0.166666667
TNF signaling pathway	0.58055588	1	0.166666667	0.166666667
Cellular senescence	0.588235354	1	0.166666667	0.166666667
Chemokine signaling pathway	0.593634966	1	0.166666667	0.166666667
Central carbon metabolism in cancer	0.611472554	1	0.166666667	0.166666667
Diabetic cardiomyopathy	0.624585943	1	0.166666667	0.166666667
Hepatitis C	0.634372946	1	0.166666667	0.166666667
Vascular smooth muscle contraction	0.642019592	1	0.166666667	0.166666667
Oxytocin signaling pathway	0.67450886	1	0.166666667	0.166666667
Phospholipase D signaling pathway	0.681320776	1	0.166666667	0.166666667
Breast cancer	0.685506064	1	0.166666667	0.166666667
Kaposi sarcoma-associated herpesvirus infection	0.74074016	1	0.166666667	0.166666667
