indication	p_value	Freq	normalised_freq	count_lists_with_drugs	normalised_count_lists_with_drugs	score
hypertension	0.248211644	3	1	3	1	1
breast cancer	0.083415394	2	0.666666667	2	0.666666667	0.666666667
cholesterol	0.000844295	2	0.666666667	2	0.666666667	0.666666667
congestive heart failure	0.094421854	2	0.666666667	2	0.666666667	0.666666667
depression	0.117581227	2	0.666666667	2	0.666666667	0.666666667
human immunodeficiency virus (HIV-1)	0.056338585	2	0.666666667	2	0.666666667	0.666666667
schizophrenia	0.117581227	2	0.666666667	2	0.666666667	0.666666667
tuberculosis	0.017315165	2	0.666666667	1	0.333333333	0.4666666666
acute intermittent porphyria (AIP)	0.024021613	1	0.333333333	1	0.333333333	0.333333333
asthma	0.444038549	1	0.333333333	1	0.333333333	0.333333333
cervical cancer	0.012082262	1	0.333333333	1	0.333333333	0.333333333
chronic lymphocytic leukemia (CLL)	0.103732143	1	0.333333333	1	0.333333333	0.333333333
cutaneous T-cell lymphoma (CTCL)	0.035819705	1	0.333333333	1	0.333333333	0.333333333
diarrhea	0.235212738	1	0.333333333	1	0.333333333	0.333333333
edema	0.206657633	1	0.333333333	1	0.333333333	0.333333333
familial amyloid polyneuropathy (FAP)	0.012082262	1	0.333333333	1	0.333333333	0.333333333
gastrointestinal parasites	0.092747896	1	0.333333333	1	0.333333333	0.333333333
genital warts	0.024021613	1	0.333333333	1	0.333333333	0.333333333
gout	0.103732143	1	0.333333333	1	0.333333333	0.333333333
gram-positive bacterial infections	0.32331879	1	0.333333333	1	0.333333333	0.333333333
heartburn	0.070382698	1	0.333333333	1	0.333333333	0.333333333
hepatic cirrhosis	0.092747896	1	0.333333333	1	0.333333333	0.333333333
hepatic encephalopathy (HE)	0.024021613	1	0.333333333	1	0.333333333	0.333333333
Hodgkin's lymphoma	0.103732143	1	0.333333333	1	0.333333333	0.333333333
hyperaldosteronism	0.012082262	1	0.333333333	1	0.333333333	0.333333333
hypoactive sexual desire disorder	0.024021613	1	0.333333333	1	0.333333333	0.333333333
hypokalemia	0.024021613	1	0.333333333	1	0.333333333	0.333333333
irritable bowel syndrome	0.206657633	1	0.333333333	1	0.333333333	0.333333333
muscle pain	0.187043912	1	0.333333333	1	0.333333333	0.333333333
nausea	0.297986254	1	0.333333333	1	0.333333333	0.333333333
nephrotic syndrome	0.103732143	1	0.333333333	1	0.333333333	0.333333333
non-small cell lung cancer (NSCLC)	0.225807976	1	0.333333333	1	0.333333333	0.333333333
pain relief	0.386578494	1	0.333333333	1	0.333333333	0.333333333
rheumatoid arthritis	0.526366186	1	0.333333333	1	0.333333333	0.333333333
small cell lung cancer	0.047478175	1	0.333333333	1	0.333333333	0.333333333
tetanus	0.012082262	1	0.333333333	1	0.333333333	0.333333333
urinary tract infections	0.596723819	1	0.333333333	1	0.333333333	0.333333333
vomiting	0.262761142	1	0.333333333	1	0.333333333	0.333333333
