moa	p_value	Freq	normalised_freq	score
sphingosine 1-phosphate receptor agonist	0.00362767	2	0.666666667	0.666666667
insulin sensitizer	0.004504339	2	0.666666667	0.666666667
HMGCR inhibitor	0.006518621	2	0.666666667	0.666666667
immunosuppressant	0.006518621	2	0.666666667	0.666666667
aromatic L-amino acid decarboxylase inhibitor	0.010350436	1	0.333333333	0.333333333
carboxamide antiepileptic	0.010350436	1	0.333333333	0.333333333
chloride channel activator	0.010350436	1	0.333333333	0.333333333
radiopaque medium	0.01154	2	0.666666667	0.666666667
sodium channel blocker	0.013928227	3	1	1
adenosine deaminase inhibitor	0.020595256	1	0.333333333	0.333333333
norepinephrine transporter inhibitor	0.020595256	1	0.333333333	0.333333333
calcium channel modulator	0.030735521	1	0.333333333	0.333333333
hydantoin antiepileptic	0.030735521	1	0.333333333	0.333333333
sphingosine 1-phosphate receptor modulator	0.030735521	1	0.333333333	0.333333333
potassium channel blocker	0.033571272	2	0.666666667	0.666666667
dehydrogenase inhibitor	0.040772283	1	0.333333333	0.333333333
gap junction modulator	0.040772283	1	0.333333333	0.333333333
monoacylglycerol lipase inhibitor	0.040772283	1	0.333333333	0.333333333
neurotrophic agent	0.040772283	1	0.333333333	0.333333333
thyroid hormone stimulant	0.040772283	1	0.333333333	0.333333333
benzodiazepine receptor agonist	0.045374342	2	0.666666667	0.666666667
glutamate inhibitor	0.050706584	1	0.333333333	0.333333333
inositol monophosphatase inhibitor	0.050706584	1	0.333333333	0.333333333
dihydroorotate dehydrogenase inhibitor	0.060539455	1	0.333333333	0.333333333
like (NRF2) activator	0.070271916	1	0.333333333	0.333333333
nuclear factor erythroid derived	0.070271916	1	0.333333333	0.333333333
serotonin?€“norepinephrine reuptake inhibitor (SNRI)	0.070271916	1	0.333333333	0.333333333
norepinephrine reuptake inhibitor	0.089439641	1	0.333333333	0.333333333
integrin antagonist	0.098876897	1	0.333333333	0.333333333
proteasome inhibitor	0.098876897	1	0.333333333	0.333333333
HIV integrase inhibitor	0.108217725	1	0.333333333	0.333333333
melatonin receptor agonist	0.108217725	1	0.333333333	0.333333333
cholesterol inhibitor	0.117463098	1	0.333333333	0.333333333
mucolytic agent	0.126613977	1	0.333333333	0.333333333
leukotriene receptor antagonist	0.144636051	1	0.333333333	0.333333333
ribonucleotide reductase inhibitor	0.144636051	1	0.333333333	0.333333333
antimalarial agent	0.153509121	1	0.333333333	0.333333333
Bruton's tyrosine kinase (BTK) inhibitor	0.179587523	1	0.333333333	0.333333333
carbonic anhydrase inhibitor	0.179587523	1	0.333333333	0.333333333
KIT inhibitor	0.188103074	1	0.333333333	0.333333333
SRC inhibitor	0.196531486	1	0.333333333	0.333333333
histamine receptor antagonist	0.204374276	2	0.666666667	0.666666667
nitric oxide synthase inhibitor	0.221302639	1	0.333333333	0.333333333
phosphodiesterase inhibitor	0.223408898	2	0.666666667	0.666666667
opioid receptor antagonist	0.237396932	1	0.333333333	0.333333333
acetylcholinesterase inhibitor	0.253163239	1	0.333333333	0.333333333
bacterial 30S ribosomal subunit inhibitor	0.260925462	1	0.333333333	0.333333333
PDGFR tyrosine kinase receptor inhibitor	0.26860815	1	0.333333333	0.333333333
bacterial DNA gyrase inhibitor	0.283738123	1	0.333333333	0.333333333
anti-inflammatory agent	0.298559489	1	0.333333333	0.333333333
PPAR receptor agonist	0.298559489	1	0.333333333	0.333333333
mTOR inhibitor	0.32022644	1	0.333333333	0.333333333
antioxidant	0.327301098	1	0.333333333	0.333333333
glucocorticoid receptor agonist	0.40673997	1	0.333333333	0.333333333
calcium channel blocker	0.412926206	1	0.333333333	0.333333333
glutamate receptor antagonist	0.584969567	1	0.333333333	0.333333333
dopamine receptor antagonist	0.62253742	1	0.333333333	0.333333333
adrenergic receptor agonist	0.626498796	1	0.333333333	0.333333333
serotonin receptor antagonist	0.700833975	1	0.333333333	0.333333333
