pathway	p_value	Freq.x	normalised_freq	score
Dopaminergic synapse	0.001458488	13	0.866666667	0.866666667
Legionellosis	0.008064763	4	0.266666667	0.266666667
Fatty acid biosynthesis	0.016231735	2	0.133333333	0.133333333
ECM-receptor interaction	0.017913196	2	0.133333333	0.133333333
Circadian rhythm	0.019664913	2	0.133333333	0.133333333
Intestinal immune network for IgA production	0.025325462	2	0.133333333	0.133333333
Ferroptosis	0.029421301	2	0.133333333	0.133333333
Rheumatoid arthritis	0.030123838	4	0.266666667	0.266666667
Base excision repair	0.036018009	2	0.133333333	0.133333333
Cell adhesion molecules	0.038331865	2	0.133333333	0.133333333
Terpenoid backbone biosynthesis	0.038331865	2	0.133333333	0.133333333
Systemic lupus erythematosus	0.040129588	3	0.2	0.2
Tuberculosis	0.041103398	7	0.466666667	0.466666667
Inflammatory bowel disease	0.045812161	3	0.2	0.2
Adrenergic signaling in cardiomyocytes	0.047733088	9	0.6	0.6
Purine metabolism	0.052051485	4	0.266666667	0.266666667
Complement and coagulation cascades	0.053324813	2	0.133333333	0.133333333
Nicotinate and nicotinamide metabolism	0.053324813	2	0.133333333	0.133333333
Taste transduction	0.0663354	8	0.533333333	0.533333333
Malaria	0.066819608	3	0.2	0.2
DNA replication	0.070138257	1	0.066666667	0.066666667
Tryptophan metabolism	0.074026042	3	0.2	0.2
Cytosolic DNA-sensing pathway	0.075913815	2	0.133333333	0.133333333
Glutathione metabolism	0.075913815	2	0.133333333	0.133333333
Pertussis	0.088100557	4	0.266666667	0.266666667
Hematopoietic cell lineage	0.097565766	3	0.2	0.2
Amoebiasis	0.105489752	4	0.266666667	0.266666667
Morphine addiction	0.10902221	6	0.4	0.4
Pyrimidine metabolism	0.117543578	2	0.133333333	0.133333333
Synaptic vesicle cycle	0.119180317	3	0.2	0.2
FoxO signaling pathway	0.123332859	7	0.466666667	0.466666667
Hypertrophic cardiomyopathy	0.123699867	3	0.2	0.2
Transcriptional misregulation in cancer	0.126572345	6	0.4	0.4
Mineral absorption	0.127822003	2	0.133333333	0.133333333
Neutrophil extracellular trap formation	0.130501902	6	0.4	0.4
Cytokine-cytokine receptor interaction	0.132920999	3	0.2	0.2
Huntington disease	0.149591484	6	0.4	0.4
NF-kappa B signaling pathway	0.152656864	5	0.333333333	0.333333333
Nucleotide excision repair	0.153146393	1	0.066666667	0.066666667
Gastric acid secretion	0.159199205	5	0.333333333	0.333333333
AMPK signaling pathway	0.162487534	6	0.4	0.4
African trypanosomiasis	0.170728988	2	0.133333333	0.133333333
Herpes simplex virus 1 infection	0.174323342	5	0.333333333	0.333333333
Bile secretion	0.183893874	4	0.266666667	0.266666667
Phototransduction	0.196020953	1	0.066666667	0.066666667
Circadian entrainment	0.196368773	4	0.266666667	0.266666667
Insulin signaling pathway	0.206096357	5	0.333333333	0.333333333
Viral protein interaction with cytokine and cytokine receptor	0.208009736	2	0.133333333	0.133333333
Glucagon signaling pathway	0.213757452	3	0.2	0.2
Asthma	0.220698138	1	0.066666667	0.066666667
Phagosome	0.223155837	2	0.133333333	0.133333333
Ubiquitin mediated proteolysis	0.244618995	1	0.066666667	0.066666667
Protein digestion and absorption	0.24983672	2	0.133333333	0.133333333
Graft-versus-host disease	0.252428563	1	0.066666667	0.066666667
Propanoate metabolism	0.252428563	1	0.066666667	0.066666667
Drug metabolism	0.257415002	3	0.2	0.2
Amphetamine addiction	0.26854873	5	0.333333333	0.333333333
Long-term potentiation	0.268827241	4	0.266666667	0.266666667
NOD-like receptor signaling pathway	0.275656675	4	0.266666667	0.266666667
Cocaine addiction	0.276399228	5	0.333333333	0.333333333
Nicotine addiction	0.276889349	3	0.2	0.2
Spinocerebellar ataxia	0.280225485	4	0.266666667	0.266666667
Melanogenesis	0.285280786	3	0.2	0.2
Leukocyte transendothelial migration	0.293692481	3	0.2	0.2
Chagas disease	0.2939992	4	0.266666667	0.266666667
Human T-cell leukemia virus 1 infection	0.294225837	5	0.333333333	0.333333333
Thermogenesis	0.296303593	4	0.266666667	0.266666667
Staphylococcus aureus infection	0.297621753	1	0.066666667	0.066666667
Cortisol synthesis and secretion	0.299501078	2	0.133333333	0.133333333
Pyruvate metabolism	0.304884141	1	0.066666667	0.066666667
Leishmaniasis	0.305542656	4	0.266666667	0.266666667
Alcoholism	0.306234694	6	0.4	0.4
Cysteine and methionine metabolism	0.312071551	1	0.066666667	0.066666667
Type I diabetes mellitus	0.312071551	1	0.066666667	0.066666667
GnRH secretion	0.324104128	4	0.266666667	0.266666667
Longevity regulating pathway	0.324104128	4	0.266666667	0.266666667
IL-17 signaling pathway	0.328757501	4	0.266666667	0.266666667
Th17 cell differentiation	0.333414613	4	0.266666667	0.266666667
GABAergic synapse	0.338711835	3	0.2	0.2
Apelin signaling pathway	0.347401275	4	0.266666667	0.266666667
Acute myeloid leukemia	0.349733702	4	0.266666667	0.266666667
Sphingolipid signaling pathway	0.354746344	5	0.333333333	0.333333333
Influenza A	0.363728401	4	0.266666667	0.266666667
Olfactory transduction	0.373509139	1	0.066666667	0.066666667
Estrogen signaling pathway	0.384342333	6	0.4	0.4
Insulin resistance	0.387016263	4	0.266666667	0.266666667
Non-alcoholic fatty liver disease	0.387016263	4	0.266666667	0.266666667
JAK-STAT signaling pathway	0.391662641	4	0.266666667	0.266666667
Arginine biosynthesis	0.399025877	1	0.066666667	0.066666667
Viral myocarditis	0.399025877	1	0.066666667	0.066666667
Renin secretion	0.405568512	4	0.266666667	0.266666667
Thyroid hormone signaling pathway	0.405591912	5	0.333333333	0.333333333
Toll-like receptor signaling pathway	0.411225171	3	0.2	0.2
Histidine metabolism	0.411392403	1	0.066666667	0.066666667
Adipocytokine signaling pathway	0.41397318	3	0.2	0.2
Type II diabetes mellitus	0.41397318	3	0.2	0.2
cAMP signaling pathway	0.4147748	11	0.733333333	0.733333333
Prion disease	0.417110044	4	0.266666667	0.266666667
Notch signaling pathway	0.417480052	1	0.066666667	0.066666667
Endocrine and other factor-regulated calcium reabsorption	0.418063895	2	0.133333333	0.133333333
Fluid shear stress and atherosclerosis	0.421787988	5	0.333333333	0.333333333
Nitrogen metabolism	0.423504834	1	0.066666667	0.066666667
Collecting duct acid secretion	0.435368382	1	0.066666667	0.066666667
Kaposi sarcoma-associated herpesvirus infection	0.435440894	6	0.4	0.4
TNF signaling pathway	0.444583258	4	0.266666667	0.266666667
Peroxisome	0.452708192	1	0.066666667	0.066666667
Primary immunodeficiency	0.452708192	1	0.066666667	0.066666667
Aldosterone synthesis and secretion	0.459960736	2	0.133333333	0.133333333
Cellular senescence	0.460427889	4	0.266666667	0.266666667
Antigen processing and presentation	0.463971648	1	0.066666667	0.066666667
Phenylalanine metabolism	0.469516277	1	0.066666667	0.066666667
Vibrio cholerae infection	0.47500364	1	0.066666667	0.066666667
Amyotrophic lateral sclerosis	0.478340758	4	0.266666667	0.266666667
