pathway	p_value	Freq_of_paths	normalised_freq	count_lists_with_drugs	normalised_count_lists_with_drugs	score
Salivary secretion	2.21e-11	46	0.621621622	14	0.933333333	0.8086486486
Synaptic vesicle cycle	2.63e-10	23	0.310810811	8	0.533333333	0.4443243242
Adrenergic signaling in cardiomyocytes	5.65e-09	47	0.635135135	12	0.8	0.734054054
Dopaminergic synapse	3.62e-07	44	0.594594595	12	0.8	0.717837838
Amphetamine addiction	4.28e-07	35	0.472972973	12	0.8	0.6691891892
cGMP-PKG signaling pathway	6.15e-06	49	0.662162162	14	0.933333333	0.8248648646
Vascular smooth muscle contraction	1.23e-05	35	0.472972973	13	0.866666667	0.7091891894
Renin secretion	1.43e-05	30	0.405405405	11	0.733333333	0.6021621618
Calcium signaling pathway	4.43e-05	74	1	15	1	1
Cocaine addiction	6.73e-05	30	0.405405405	10	0.666666667	0.5621621622
Alcoholism	6.85e-05	36	0.486486486	12	0.8	0.6745945944
Taste transduction	0.000190442	33	0.445945946	14	0.933333333	0.7383783782
Dilated cardiomyopathy	0.000252333	17	0.22972973	10	0.666666667	0.4918918922
Serotonergic synapse	0.000464416	46	0.621621622	15	1	0.8486486488
Pancreatic secretion	0.000643713	22	0.297297297	10	0.666666667	0.518918919
Gap junction	0.000746584	40	0.540540541	14	0.933333333	0.7762162162
Phototransduction	0.001292324	5	0.067567568	5	0.333333333	0.227027027
Glycerophospholipid metabolism	0.001775528	10	0.135135135	5	0.333333333	0.2540540538
Gastric acid secretion	0.004642065	21	0.283783784	11	0.733333333	0.5535135134
Parkinson disease	0.004791232	26	0.351351351	12	0.8	0.6205405404
Collecting duct acid secretion	0.00662757	7	0.094594595	4	0.266666667	0.1978378382
GABAergic synapse	0.00751108	16	0.216216216	8	0.533333333	0.4064864862
cAMP signaling pathway	0.008088718	55	0.743243243	15	1	0.8972972972
Systemic lupus erythematosus	0.009407019	8	0.108108108	7	0.466666667	0.3232432434
Chemical carcinogenesis	0.010648876	50	0.675675676	14	0.933333333	0.8302702702
Phenylalanine metabolism	0.011562859	7	0.094594595	4	0.266666667	0.1978378382
Vibrio cholerae infection	0.012589863	7	0.094594595	6	0.4	0.277837838
Morphine addiction	0.018244209	21	0.283783784	9	0.6	0.4735135136
Neuroactive ligand-receptor interaction	0.018798708	74	1	15	1	1
Insulin secretion	0.021558032	18	0.243243243	12	0.8	0.5772972972
Cortisol synthesis and secretion	0.028644343	9	0.121621622	6	0.4	0.2886486488
Tyrosine metabolism	0.029885563	8	0.108108108	5	0.333333333	0.243243243
AMPK signaling pathway	0.032943942	22	0.297297297	10	0.666666667	0.518918919
Regulation of lipolysis in adipocytes	0.035575188	23	0.310810811	10	0.666666667	0.5243243246
Aldosterone synthesis and secretion	0.042571005	11	0.148648649	7	0.466666667	0.3394594598
Arginine biosynthesis	0.047800936	5	0.067567568	4	0.266666667	0.1870270274
Cardiac muscle contraction	0.054269164	6	0.081081081	5	0.333333333	0.2324324322
Endocrine and other factor-regulated calcium reabsorption	0.055012465	10	0.135135135	7	0.466666667	0.3340540542
Nitrogen metabolism	0.063166382	5	0.067567568	4	0.266666667	0.1870270274
Circadian entrainment	0.067705704	14	0.189189189	9	0.6	0.4356756756
Asthma	0.071629895	3	0.040540541	4	0.266666667	0.1762162166
mRNA surveillance pathway	0.079498468	1	0.013513514	2	0.133333333	0.0854054054
Cholinergic synapse	0.082985906	24	0.324324324	12	0.8	0.6097297296
Inflammatory mediator regulation of TRP channels	0.086633585	26	0.351351351	13	0.866666667	0.6605405406
Long-term potentiation	0.095429294	15	0.202702703	9	0.6	0.4410810812
Bile secretion	0.100161148	13	0.175675676	9	0.6	0.4302702704
