drug name	indication
(r)-(-)-apomorphine	Parkinson's Disease
17-hydroxyprogesterone-caproate	spontaneous preterm birth
1-hexadecanol	cosmetic
2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose	pancreatic cancer
2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose	hypoglycemia
2-hydroxyethyl-salicylate	pain relief
3-(4-methylbenzylidene)camphor	sunscreen lotion
4-aminohippuric-acid	renal diagnostic agent
5-aminolevulinic-acid	glioma
5-aminolevulinic-acid	actinic keratosis (AK)
5-fluorouracil	colorectal cancer
5-fluorouracil	breast cancer
5-fluorouracil	pancreatic cancer
5-fluorouracil	gastric adenocarcinoma
5-hydroxytryptophan	insomnia
abacavir	human immunodeficiency virus (HIV-1)
abamectin	gastrointestinal parasites
abemaciclib	breast cancer
abiraterone	prostate cancer
abiraterone-acetate	prostate cancer
acalabrutinib	mantle cell lymphoma (MCL)
acamprosate	abstinence from alcohol
acarbose	diabetes mellitus
acebutolol	hypertension
acebutolol	ventricular arrhythmias
aceclidine	glaucoma
aceclofenac	rheumatoid arthritis
aceclofenac	ankylosing spondylitis
aceclofenac	osteoarthritis
aceclofenac	periarthritis
aceclofenac	lumbago
aceclofenac	ischiadynia
acedapsone	leprosy
acefylline	asthma
aceglutamide	peptic ulcer disease (PUD)
acemetacin	osteoarthritis
acenocoumarol	deep vein thrombosis (DVT)
acepromazine	sedative
acetarsol	diarrhea
acetazolamide	glaucoma
acetohexamide	diabetes mellitus
acetohydroxamic-acid	urinary tract infections
acetophenazine	psychosis
acetylcholine	drowsiness
acetylcholine	fatigue
acetylcholine	headache
acetylcholine	indigestion
acetylcholine	chest congestion
acetylcysteine	acetaminophen overdose
acetylcysteine	hepatic injury
acetyl-farnesyl-cysteine	acne vulgaris (AV)
acetyl-l-leucine	vertigo
acexamic-acid	wound healing
acipimox	hyperlipidemia
acitazanolast	allergic rhinitis
acitretin	psoriasis
aclarubicin	acute myeloid leukemia (AML)
aclidinium	bronchitis
aclidinium	emphysema
aclidinium	chronic obstructive pulmonary disease (COPD)
acriflavine	fungal infection
acriflavinium	fungal infection
acrisorcin	fungal infection
acrivastine	allergic rhinitis
act-132577	pulmonary arterial hypertension (PAH)
actarit	rheumatoid arthritis
actinomycin-d	Wilm's tumor
actinomycin-d	Ewing's sarcoma
actinomycin-d	rhabdomyosarcoma
actinomycin-d	testicular carcinoma
acyclovir	genitial herpes
acyclovir	shingles
acyclovir	chicken pox
adapalene	acne vulgaris (AV)
adefovir	hepatitis B
adefovir-dipivoxil	hepatitis B
adelmidrol	dermatitis
ademetionine	depression
ademetionine	attention-deficit/hyperactivity disorder (ADHD)
adenosine	Wolff-Parkinson-White Syndrome (WPW)
adiphenine	spasms
adrafinil	fatigue
adrenalone	hemorrhage
afatinib	non-small cell lung cancer (NSCLC)
afloqualone	sedative
afobazole	anxiety
agomelatine	depression
ajmaline	Wolff-Parkinson-White Syndrome (WPW)
aklomide	coccidiosis
alacepril	hypertension
albendazole	cystic hydatid disease
albendazole	parenchymal neurocysticercosis
albendazole-oxide	cystic hydatid disease
albendazole-oxide	parenchymal neurocysticercosis
albuterol	asthma
alcaftadine	allergic conjunctivitis
alclofenac	rheumatoid arthritis
alclometasone-dipropionate	corticosteroid-responsive dermatoses
alcuronium	muscle relaxant
alectinib	non-small cell lung cancer (NSCLC)
alendronate	osteoporosis
alfacalcidol	vitamin D deficiency
alfuzosin	benign prostatic hyperplasia (BPH)
algestone-acetophenide	contraceptive
alibendol	bile stimulation
alimemazine	sedative
alimemazine	urticaria
alimemazine	itching
alimemazine	cough suppressant
aliskiren-hemifumarate	hypertension
alizapride	nausea
allantoin	skin protectant
allopurinol	gout
allopurinol	kidney stones
allylestrenol	premature labor
almitrine	chronic obstructive pulmonary disease (COPD)
almotriptan	migraine headache
alogliptin	diabetes mellitus
alpelisib	breast cancer
alpha-tochopherol	vitamin E deficiency
alpha-tochopheryl-acetate	vitamin E deficiency
alprenolol	angina pectoris
alprostadil	congenital heart defects
althiazide	hypertension
altrenogest	estrus
altretamine	ovarian cancer
alverine	irritable bowel syndrome
alverine	diverticular disease
alvimopan	postoperative ileus
amantadine	influenza A virus infection
amantadine	Parkinson's Disease
ambenonium	myasthenia gravis
ambrisentan	pulmonary arterial hypertension (PAH)
ambroxol	bronchitis
amcinonide	corticosteroid-responsive dermatoses
amdinocillin	urinary tract infections
amdinocillin	gram-negative bacterial infections
amezinium	hypotension
amfenac	pain relief
amidopyrine	dermatitis herpetiformis (DH)
amifampridine	Lambert-Eaton myasthenic syndrome (LEMS)
amifostine	renal toxicity
amikacin	gram-negative bacterial infections
amiloride	hypertension
amiloride	congestive heart failure
aminocaproic-acid	fibrinolytic bleeding
aminoglutethimide	Cushing's syndrome
aminoglutethimide	breast cancer
aminohydroxybutyric-acid	epilepsy
aminopentamide	acute abdominal visceral spasm
aminopentamide	hypertrophic gastritis (GHG)
aminopentamide	nausea
aminophylline	asthma
aminophylline	bronchitis
aminophylline	emphysema
aminosalicylate	inflammatory bowel disease
aminosalicylate	ulcerative colitis
amiodarone	ventricular arrhythmias
amisulpride	psychosis
amisulpride	bipolar disorder
amisulpride	schizophrenia
amitraz	generalized demodicosis
amitriptyline	depression
amlexanox	aphthous ulcers
amlexanox	asthma
amlexanox	conjunctivitis
amlexanox	allergic rhinitis
amlodipine	hypertension
amlodipine	chronic stable angina
amlodipine	vasospastic angina
amlodipine	coronary artery disease (CAD)
ammonium-glycyrrhizinate	cosmetic
ammonium-lactate	xerosis cutis
ammonium-lactate	ichthyosis vulgaris
amodiaquine	malaria
amorolfine	onychomycosis
amoxapine	depression
amoxicillin	skin infections
amoxicillin	duodenal ulcer disease
amoxicillin	gonorrhea
amoxicillin	ear infections
amoxicillin	throat infections
amoxicillin	genitourinary tract infections
amoxicillin	respiratory tract infections
amperozide	psychosis
amphotericin-b	fungal infection
ampicillin	respiratory tract infections
ampicillin	meningitis
ampicillin	bacterial septicemia
ampicillin	endocarditis
ampicillin	urinary tract infections
ampicillin	gastrointestinal infections
ampiroxicam	pain relief
amprenavir	human immunodeficiency virus (HIV-1)
amprolium	coccidiosis
amrinone	congestive heart failure
amrubicin	small cell lung cancer
amsacrine	acute lymphoblastic leukemia (ALL)
amtolmetin-guacil	rheumatoid arthritis
amtolmetin-guacil	osteoarthritis
anagliptin	diabetes mellitus
anagrelide	thrombocythemia
anagrelide	myeloproliferative neoplasms
anastrozole	breast cancer
anecortave-acetate	macular degeneration
anethole-trithione	xerostomia
anidulafungin	candidemia
anidulafungin	fungal infection
anidulafungin	esophageal candidiasis
anisindione	deep vein thrombosis (DVT)
anisotropine	peptic ulcer disease (PUD)
antazoline	conjunctivitis
antazoline	nasal congestion
anthralin	psoriasis
apalutamide	prostate cancer
apixaban	stroke
apixaban	systemic embolism
apixaban	pulmonary embolism (PE)
apixaban	atrial fibrillation (AF)
apixaban	deep vein thrombosis (DVT)
apraclonidine	glaucoma
apraclonidine	intraocular pressure
apramycin	gram-negative bacterial infections
apremilast	psoriasis
