drug.name	pathway
acetohexamide	ABC transporters
 adenosine-triphosphate	ABC transporters
 apigenin	ABC transporters
 benzbromarone	ABC transporters
 bumetanide	ABC transporters
 capsaicin	ABC transporters
 cftrinh-172	ABC transporters
 chlorpropamide	ABC transporters
 clenbuterol	ABC transporters
 cyclosporin-a	ABC transporters
 cyclovalone	ABC transporters
 dexfosfoserine	ABC transporters
 dofequidar	ABC transporters
 elacridar	ABC transporters
 erythromycin-estolate	ABC transporters
 erythromycin-ethylsuccinate	ABC transporters
 felodipine	ABC transporters
 genistein	ABC transporters
 glafenine	ABC transporters
 glimepiride	ABC transporters
 glipizide	ABC transporters
 gliquidone	ABC transporters
 glyburide	ABC transporters
 iowh032	ABC transporters
 ivacaftor	ABC transporters
 ko143	ABC transporters
 ks-176	ABC transporters
 lumacaftor	ABC transporters
 minoxidil	ABC transporters
 mitiglinide	ABC transporters
 mk-571	ABC transporters
 nateglinide	ABC transporters
 nimodipine	ABC transporters
 pinacidil	ABC transporters
 probucol	ABC transporters
 repaglinide	ABC transporters
 reversan	ABC transporters
 sulfinpyrazone	ABC transporters
 tariquidar	ABC transporters
 tifenazoxide	ABC transporters
 tolazamide	ABC transporters
 tolbutamide	ABC transporters
 valspodar	ABC transporters
 zosuquidar	ABC transporters
10-debc	Acute myeloid leukemia
 4|5|6|7-tetrabromobenzotriazole	Acute myeloid leukemia
 a-674563	Acute myeloid leukemia
 a66	Acute myeloid leukemia
 ac-55649	Acute myeloid leukemia
 ac-710	Acute myeloid leukemia
 acalisib	Acute myeloid leukemia
 acetylcysteine	Acute myeloid leukemia
 acitretin	Acute myeloid leukemia
 adapalene	Acute myeloid leukemia
 adenosine-phosphate	Acute myeloid leukemia
 adenosine-triphosphate	Acute myeloid leukemia
 agn-195183	Acute myeloid leukemia
 alantolactone	Acute myeloid leukemia
 alpelisib	Acute myeloid leukemia
 am-580	Acute myeloid leukemia
 amg-319	Acute myeloid leukemia
 amg-925	Acute myeloid leukemia
 amg319	Acute myeloid leukemia
 aminosalicylate	Acute myeloid leukemia
 amlexanox	Acute myeloid leukemia
 ammonium-perfluorocaprylate	Acute myeloid leukemia
 amuvatinib	Acute myeloid leukemia
 andrographolide	Acute myeloid leukemia
 ap1903	Acute myeloid leukemia
 apatinib	Acute myeloid leukemia
 apck-110	Acute myeloid leukemia
 api-1	Acute myeloid leukemia
 arctigenin	Acute myeloid leukemia
 arcyriaflavin-a	Acute myeloid leukemia
 arglabin	Acute myeloid leukemia
 arq-092	Acute myeloid leukemia
 arsenic-trioxide	Acute myeloid leukemia
 as-604850	Acute myeloid leukemia
 as-703026	Acute myeloid leukemia
 aspirin	Acute myeloid leukemia
 at13148	Acute myeloid leukemia
 at7867	Acute myeloid leukemia
 atiprimod	Acute myeloid leukemia
 auranofin	Acute myeloid leukemia
 az-628	Acute myeloid leukemia
 az20	Acute myeloid leukemia
 azd1208	Acute myeloid leukemia
 azd2014	Acute myeloid leukemia
 azd3264	Acute myeloid leukemia
 azd5363	Acute myeloid leukemia
 azd6482	Acute myeloid leukemia
 azd8055	Acute myeloid leukemia
 azd8186	Acute myeloid leukemia
 azd8835	Acute myeloid leukemia
 bardoxolone-methyl	Acute myeloid leukemia
 bay-11-7082	Acute myeloid leukemia
 beta-hydroxy-beta-methylbutyrate	Acute myeloid leukemia
 bezafibrate	Acute myeloid leukemia
 bgt226	Acute myeloid leukemia
 bi-847325	Acute myeloid leukemia
 binimetinib	Acute myeloid leukemia
 bisindolylmaleimide-ix	Acute myeloid leukemia
 bms-345541	Acute myeloid leukemia
 bms-536924	Acute myeloid leukemia
 bms-690514	Acute myeloid leukemia
 bms-754807	Acute myeloid leukemia
 bms-863233	Acute myeloid leukemia
 bortezomib	Acute myeloid leukemia
 bosutinib	Acute myeloid leukemia
 briciclib	Acute myeloid leukemia
 buparlisib	Acute myeloid leukemia
 caffeic-acid-phenethyl-ester	Acute myeloid leukemia
 caffeine	Acute myeloid leukemia
 camkii-in-1	Acute myeloid leukemia
 canertinib	Acute myeloid leukemia
 cc-115	Acute myeloid leukemia
 cc-223	Acute myeloid leukemia
 cediranib	Acute myeloid leukemia
 cefdinir	Acute myeloid leukemia
 cep-32496	Acute myeloid leukemia
 ceritinib	Acute myeloid leukemia
 ch5132799	Acute myeloid leukemia
 ch55	Acute myeloid leukemia
 chir-99021	Acute myeloid leukemia
 chrysophanic-acid	Acute myeloid leukemia
 cid-5458317	Acute myeloid leukemia
 cobimetinib	Acute myeloid leukemia
 compound-401	Acute myeloid leukemia
 copanlisib	Acute myeloid leukemia
 cp-673451	Acute myeloid leukemia
 cr8-(r)	Acute myeloid leukemia
 crenolanib	Acute myeloid leukemia
 cryptotanshinone	Acute myeloid leukemia
 cudc-907	Acute myeloid leukemia
 dabrafenib	Acute myeloid leukemia
 dasatinib	Acute myeloid leukemia
 dcc-2618	Acute myeloid leukemia
 deforolimus	Acute myeloid leukemia
 deltarasin	Acute myeloid leukemia
 dexfosfoserine	Acute myeloid leukemia
 dg-172	Acute myeloid leukemia
 dmp-777	Acute myeloid leukemia
 dorsomorphin	Acute myeloid leukemia
 dovitinib	Acute myeloid leukemia
 duvelisib	Acute myeloid leukemia
 ec-23	Acute myeloid leukemia
 elafibranor	Acute myeloid leukemia
 encorafenib	Acute myeloid leukemia
 enmd-2076	Acute myeloid leukemia
 enzastaurin	Acute myeloid leukemia
 etp-45658	Acute myeloid leukemia
 etretinate	Acute myeloid leukemia
 everolimus	Acute myeloid leukemia
 farnesyl-thiosalicylic-acid-amide	Acute myeloid leukemia
 fenretinide	Acute myeloid leukemia
 fh-535	Acute myeloid leukemia
