indication	p_value	Freq	normalised_freq	score
Alzheimer's disease	0.003402022	3	0.428571429	0.428571429
ankylosing spondylitis	0.004947994	3	0.428571429	0.428571429
cutaneous T-cell lymphoma (CTCL)	0.005030293	2	0.285714286	0.285714286
smoking cessation	0.005030293	2	0.285714286	0.285714286
coronary heart disease	0.009785497	2	0.285714286	0.285714286
senile dementia	0.014900299	3	0.428571429	0.428571429
depression	0.015072914	6	0.857142857	0.857142857
bursitis	0.015864717	2	0.285714286	0.285714286
fatigue	0.023150784	2	0.285714286	0.285714286
diabetes mellitus	0.023835495	5	0.714285714	0.714285714
exercise-induced bronchoconstriction (EIB)	0.041645244	1	0.142857143	0.142857143
heart attack	0.041645244	1	0.142857143	0.142857143
hyperaldosteronism	0.041645244	1	0.142857143	0.142857143
lymphangioleiomyomatosis	0.041645244	1	0.142857143	0.142857143
mastocytoma	0.041645244	1	0.142857143	0.142857143
polycystic ovary syndrom (PCOS)	0.041645244	1	0.142857143	0.142857143
myocardial infarction	0.042074958	3	0.428571429	0.428571429
fever	0.061101672	3	0.428571429	0.428571429
seizures	0.061101672	3	0.428571429	0.428571429
osteoarthritis	0.077034069	4	0.571428571	0.571428571
amyotrophic lateral sclerosis (ALS)	0.081566425	1	0.142857143	0.142857143
bloating	0.081566425	1	0.142857143	0.142857143
brucellosis	0.081566425	1	0.142857143	0.142857143
dermatomyositis	0.081566425	1	0.142857143	0.142857143
epicondylitis	0.081566425	1	0.142857143	0.142857143
hepatic encephalopathy (HE)	0.081566425	1	0.142857143	0.142857143
hypokalemia	0.081566425	1	0.142857143	0.142857143
sleep cycle support	0.081566425	1	0.142857143	0.142857143
tendinitis	0.081566425	1	0.142857143	0.142857143
thalassemia	0.081566425	1	0.142857143	0.142857143
Tourette's disorder	0.081566425	1	0.142857143	0.142857143
transfusional hemosiderosis	0.081566425	1	0.142857143	0.142857143
tularemia	0.081566425	1	0.142857143	0.142857143
weight-loss aid	0.081566425	1	0.142857143	0.142857143
hyperlipidemia	0.099550874	2	0.285714286	0.285714286
rheumatoid arthritis	0.108371335	5	0.714285714	0.714285714
bipolar disorder	0.113077062	2	0.285714286	0.285714286
acromegaly	0.11983449	1	0.142857143	0.142857143
backache	0.11983449	1	0.142857143	0.142857143
chancroid	0.11983449	1	0.142857143	0.142857143
congenital adrenal hyperplasia	0.11983449	1	0.142857143	0.142857143
drowsiness	0.11983449	1	0.142857143	0.142857143
iron overload	0.11983449	1	0.142857143	0.142857143
irritability	0.11983449	1	0.142857143	0.142857143
lumbago	0.11983449	1	0.142857143	0.142857143
primary dysmenorrhea (PD)	0.11983449	1	0.142857143	0.142857143
psittacosis	0.11983449	1	0.142857143	0.142857143
social anxiety disorder	0.11983449	1	0.142857143	0.142857143
Parkinson's Disease	0.136590656	3	0.428571429	0.428571429
schizophrenia	0.145280526	4	0.571428571	0.571428571
acquired immunodeficiency syndrome (AIDS)	0.156517488	1	0.142857143	0.142857143
hyperprolactinemia	0.156517488	1	0.142857143	0.142857143
mantle cell lymphoma (MCL)	0.156517488	1	0.142857143	0.142857143
motion sickness	0.156517488	1	0.142857143	0.142857143
myelodysplastic diseases (MDS)	0.156517488	1	0.142857143	0.142857143
panic disorders	0.156517488	1	0.142857143	0.142857143
sleeplessness	0.156517488	1	0.142857143	0.142857143
toothache	0.156517488	1	0.142857143	0.142857143
trachoma	0.156517488	1	0.142857143	0.142857143
attention-deficit/hyperactivity disorder (ADHD)	0.191680681	1	0.142857143	0.142857143
organ rejection	0.191680681	1	0.142857143	0.142857143
urethritis	0.191680681	1	0.142857143	0.142857143
stroke	0.201515324	2	0.285714286	0.285714286
mycosis	0.22538666	1	0.142857143	0.142857143
psoriasis	0.248250826	2	0.285714286	0.285714286
claudication	0.257695455	1	0.142857143	0.142857143
generalized anxiety disorder (GAD)	0.257695455	1	0.142857143	0.142857143
psoriatic arthritis	0.257695455	1	0.142857143	0.142857143
cholera	0.288664638	1	0.142857143	0.142857143
hepatic cirrhosis	0.288664638	1	0.142857143	0.142857143
hypercholesterolemia	0.288664638	1	0.142857143	0.142857143
pulmonary embolism (PE)	0.288664638	1	0.142857143	0.142857143
shingles	0.288664638	1	0.142857143	0.142857143
nephrotic syndrome	0.318349421	1	0.142857143	0.142857143
conjunctivitis	0.341952368	2	0.285714286	0.285714286
common cold	0.346802757	1	0.142857143	0.142857143
virus herpes simplex (HSV)	0.346802757	1	0.142857143	0.142857143
anemia	0.374075425	1	0.142857143	0.142857143
chronic myeloid leukemia (CML)	0.374075425	1	0.142857143	0.142857143
hypercalcemia	0.374075425	1	0.142857143	0.142857143
hypertension	0.386048618	7	1	1
atrial fibrillation (AF)	0.425271564	1	0.142857143	0.142857143
deep vein thrombosis (DVT)	0.425271564	1	0.142857143	0.142857143
acne vulgaris (AV)	0.449286526	1	0.142857143	0.142857143
epilepsy	0.449286526	1	0.142857143	0.142857143
headache	0.449286526	1	0.142857143	0.142857143
coronary artery disease (CAD)	0.472303962	1	0.142857143	0.142857143
enteritis	0.472303962	1	0.142857143	0.142857143
hepatitis B	0.472303962	1	0.142857143	0.142857143
constipation	0.494365061	1	0.142857143	0.142857143
multiple myeloma	0.494365061	1	0.142857143	0.142857143
osteoporosis	0.494365061	1	0.142857143	0.142857143
pain relief	0.501561986	2	0.285714286	0.285714286
multiple sclerosis	0.51550932	1	0.142857143	0.142857143
muscle pain	0.51550932	1	0.142857143	0.142857143
congestive heart failure	0.540703571	2	0.285714286	0.285714286
cosmetic	0.555197269	1	0.142857143	0.142857143
irritable bowel syndrome	0.555197269	1	0.142857143	0.142857143
ulcerative colitis	0.573812108	1	0.142857143	0.142857143
anxiety	0.608750564	1	0.142857143	0.142857143
diarrhea	0.608750564	1	0.142857143	0.142857143
meningitis	0.608750564	1	0.142857143	0.142857143
prostate cancer	0.608750564	1	0.142857143	0.142857143
contraceptive	0.640841033	1	0.142857143	0.142857143
vomiting	0.65589115	1	0.142857143	0.142857143
nausea	0.710076657	1	0.142857143	0.142857143
human immunodeficiency virus (HIV-1)	0.745069388	1	0.142857143	0.142857143
respiratory tract infections	0.766031963	1	0.142857143	0.142857143
breast cancer	0.81918204	1	0.142857143	0.142857143
asthma	0.871842478	1	0.142857143	0.142857143
allergic rhinitis	0.909232944	1	0.142857143	0.142857143
