pathway	p_value	Freq_of_paths	count_lists_with_drugs	normalised_freq.freq.max.	normalised_count_lists_with_drugs	sum_of_norm_freq_norm_count_lists	product_of_norm_freq_norm_count_lists	score
ABC transporters	0.003075925	17	12	0.069105691	0.292682927	0.361788618	0.020226056	0.2032520326
Acute myeloid leukemia	0.264560734	62	21	0.25203252	0.512195122	0.764227642	0.129089827	0.4081300812
Adherens junction	0.030157366	55	13	0.223577236	0.317073171	0.540650407	0.070890343	0.279674797
Adipocytokine signaling pathway	0.890956569	38	19	0.154471545	0.463414634	0.617886179	0.071584374	0.3398373984
Adrenergic signaling in cardiomyocytes	3.58e-06	130	35	0.528455285	0.853658537	1.382113821	0.451120365	0.7235772362
African trypanosomiasis	0.579575916	14	11	0.056910569	0.268292683	0.325203252	0.015268689	0.1837398374
AGE-RAGE signaling pathway in diabetic complications	0.997795513	51	20	0.207317073	0.487804878	0.695121951	0.10113028	0.375609756
Alanine, aspartate and glutamate metabolism	0.737373252	5	5	0.020325203	0.12195122	0.142276423	0.002478683	0.0813008132
Alcoholism	0.000164289	119	35	0.483739837	0.853658537	1.337398374	0.412948642	0.705691057
Aldosterone synthesis and secretion	1.5e-05	52	28	0.211382114	0.682926829	0.894308943	0.144358517	0.494308943
Aldosterone-regulated sodium reabsorption	0.784119154	26	16	0.105691057	0.390243902	0.495934959	0.041245291	0.276422764
Allograft rejection	0.452355675	6	6	0.024390244	0.146341463	0.170731707	0.003569304	0.0975609754
alpha-Linolenic acid metabolism	0.144897343	9	9	0.036585366	0.219512195	0.256097561	0.008030934	0.1463414634
Alzheimer disease	0.520732014	144	36	0.585365854	0.87804878	1.463414634	0.513979774	0.7609756096
Amoebiasis	0.553520193	34	19	0.138211382	0.463414634	0.601626016	0.064049177	0.3333333332
Amphetamine addiction	1.51e-06	103	34	0.418699187	0.829268293	1.24796748	0.34721396	0.6650406506
AMPK signaling pathway	1.1e-06	108	34	0.43902439	0.829268293	1.268292683	0.364069007	0.6731707318
Amyotrophic lateral sclerosis	0.932498786	58	23	0.235772358	0.56097561	0.796747967	0.132262542	0.4308943092
Antigen processing and presentation	0.777319795	10	8	0.040650407	0.195121951	0.235772358	0.007931787	0.1333333334
Apelin signaling pathway	0.254868042	62	27	0.25203252	0.658536585	0.910569106	0.165972635	0.495934959
Apoptosis	0.995037105	43	19	0.174796748	0.463414634	0.638211382	0.081003371	0.3479674796
Arachidonic acid metabolism	0.015181082	52	20	0.211382114	0.487804878	0.699186992	0.103113226	0.3772357724
Arginine and proline metabolism	0.932774367	14	11	0.056910569	0.268292683	0.325203252	0.015268689	0.1837398374
