moa	p_value	Freq	normalised_freq	score
vesicular monoamine transporter inhibitor	6.61e-05	2	0.666666667	0.666666667
glutamate receptor antagonist	0.002736057	3	1	1
survival motor neuron protein modulator	0.003400858	1	0.333333333	0.333333333
norepinephrine transporter inhibitor	0.006790651	1	0.333333333	0.333333333
glutamate inhibitor	0.016893985	1	0.333333333	0.333333333
Abl kinase inhibitor	0.023574846	1	0.333333333	0.333333333
SIRT inhibitor	0.023574846	1	0.333333333	0.333333333
insulin sensitizer	0.033514772	1	0.333333333	0.333333333
phosphodiesterase inhibitor	0.034016525	2	0.666666667	0.666666667
dopamine receptor antagonist	0.039248991	2	0.666666667	0.666666667
cholesterol inhibitor	0.040087538	1	0.333333333	0.333333333
immunosuppressant	0.040087538	1	0.333333333	0.333333333
Bcr-Abl kinase inhibitor	0.04986658	1	0.333333333	0.333333333
dopamine reuptake inhibitor	0.056332922	1	0.333333333	0.333333333
chelating agent	0.062757158	1	0.333333333	0.333333333
bacterial 30S ribosomal subunit inhibitor	0.094255837	1	0.333333333	0.333333333
PPAR receptor agonist	0.109622931	1	0.333333333	0.333333333
serotonin receptor antagonist	0.326394439	1	0.333333333	0.333333333
