indication	p_value	Freq	normalised_freq	score
multiple sclerosis	4.89e-08	7	1	1
Alzheimer's disease	0.000637136	3	0.428571429	0.428571429
seizures	0.001484733	4	0.571428571	0.571428571
MRI contrast agent	0.003149938	2	0.285714286	0.285714286
hypercholesterolemia	0.013828002	2	0.285714286	0.285714286
acetaminophen overdose	0.023393316	1	0.142857143	0.142857143
fescue toxicosis	0.023393316	1	0.142857143	0.142857143
Friedreich's ataxia	0.023393316	1	0.142857143	0.142857143
hepatic injury	0.023393316	1	0.142857143	0.142857143
hypothyroidism	0.023393316	1	0.142857143	0.142857143
Leber hereditary optic neuropathy (LHON)	0.023393316	1	0.142857143	0.142857143
mastocytoma	0.023393316	1	0.142857143	0.142857143
hyperlipidemia	0.035709173	2	0.285714286	0.285714286
amyotrophic lateral sclerosis (ALS)	0.04624526	1	0.142857143	0.142857143
brucellosis	0.04624526	1	0.142857143	0.142857143
carnitine deficiency	0.04624526	1	0.142857143	0.142857143
hairy cell leukemia	0.04624526	1	0.142857143	0.142857143
Lambert-Eaton myasthenic syndrome (LEMS)	0.04624526	1	0.142857143	0.142857143
myxedema coma	0.04624526	1	0.142857143	0.142857143
peripheral neuropathy	0.04624526	1	0.142857143	0.142857143
sleep cycle support	0.04624526	1	0.142857143	0.142857143
tularemia	0.04624526	1	0.142857143	0.142857143
vitamin D deficiency	0.04624526	1	0.142857143	0.142857143
chancroid	0.068568223	1	0.142857143	0.142857143
psittacosis	0.068568223	1	0.142857143	0.142857143
myocardial infarction	0.071546197	2	0.285714286	0.285714286
stroke	0.078319851	2	0.285714286	0.285714286
coronary heart disease	0.090374318	1	0.142857143	0.142857143
trachoma	0.090374318	1	0.142857143	0.142857143
abstinence from alcohol	0.111675383	1	0.142857143	0.142857143
attention-deficit/hyperactivity disorder (ADHD)	0.111675383	1	0.142857143	0.142857143
bursitis	0.111675383	1	0.142857143	0.142857143
organ rejection	0.111675383	1	0.142857143	0.142857143
thyroiditis	0.111675383	1	0.142857143	0.142857143
urethritis	0.111675383	1	0.142857143	0.142857143
mycosis	0.132482986	1	0.142857143	0.142857143
generalized anxiety disorder (GAD)	0.152808436	1	0.142857143	0.142857143
psoriatic arthritis	0.152808436	1	0.142857143	0.142857143
renal cell carcinoma (RCC)	0.152808436	1	0.142857143	0.142857143
seborrheic dermatitis	0.152808436	1	0.142857143	0.142857143
cholera	0.172662784	1	0.142857143	0.142857143
ankylosing spondylitis	0.19205683	1	0.142857143	0.142857143
common cold	0.21100113	1	0.142857143	0.142857143
urinary incontinence	0.21100113	1	0.142857143	0.142857143
anemia	0.229506001	1	0.142857143	0.142857143
hypercalcemia	0.229506001	1	0.142857143	0.142857143
diabetes mellitus	0.240144126	2	0.285714286	0.285714286
senile dementia	0.265237553	1	0.142857143	0.142857143
bipolar disorder	0.282483718	1	0.142857143	0.142857143
epilepsy	0.282483718	1	0.142857143	0.142857143
enteritis	0.299329431	1	0.142857143	0.142857143
constipation	0.315783888	1	0.142857143	0.142857143
multiple myeloma	0.315783888	1	0.142857143	0.142857143
muscle pain	0.331856078	1	0.142857143	0.142857143
urticaria	0.347554787	1	0.142857143	0.142857143
irritable bowel syndrome	0.362888597	1	0.142857143	0.142857143
spasms	0.3778659	1	0.142857143	0.142857143
ulcerative colitis	0.3778659	1	0.142857143	0.142857143
allergic rhinitis	0.378758123	2	0.285714286	0.285714286
fever	0.406783589	1	0.142857143	0.142857143
psoriasis	0.420739818	1	0.142857143	0.142857143
malaria	0.447685307	1	0.142857143	0.142857143
peptic ulcer disease (PUD)	0.47339051	1	0.142857143	0.142857143
conjunctivitis	0.497911909	1	0.142857143	0.142857143
glaucoma	0.497911909	1	0.142857143	0.142857143
Parkinson's Disease	0.521303445	1	0.142857143	0.142857143
human immunodeficiency virus (HIV-1)	0.532591703	1	0.142857143	0.142857143
respiratory tract infections	0.554384292	1	0.142857143	0.142857143
osteoarthritis	0.604566896	1	0.142857143	0.142857143
congestive heart failure	0.640653067	1	0.142857143	0.142857143
asthma	0.681210832	1	0.142857143	0.142857143
depression	0.688761538	1	0.142857143	0.142857143
hypertension	0.968225863	1	0.142857143	0.142857143
