pathway	p_value	Freq	normalised_freq	count_lists_with_drugs	normalised_count_lists_with_drugs	score
ABC transporters	0.012296215	3	0.214285714	1	0.2	0.2057142856
Acute myeloid leukemia	0.824877394	2	0.142857143	2	0.4	0.2971428572
Adherens junction	0.689091702	2	0.142857143	2	0.4	0.2971428572
Adipocytokine signaling pathway	0.707892155	2	0.142857143	2	0.4	0.2971428572
Adrenergic signaling in cardiomyocytes	0.729406556	4	0.285714286	4	0.8	0.5942857144
African trypanosomiasis	0.546340847	1	0.071428571	1	0.2	0.1485714284
AGE-RAGE signaling pathway in diabetic complications	0.751957381	3	0.214285714	3	0.6	0.4457142856
Alanine, aspartate and glutamate metabolism	0.042289499	2	0.142857143	2	0.4	0.2971428572
Alcoholism	0.112608213	8	0.571428571	3	0.6	0.5885714284
Aldosterone-regulated sodium reabsorption	0.481193771	2	0.142857143	2	0.4	0.2971428572
Aldosterone synthesis and secretion	0.225547629	3	0.214285714	3	0.6	0.4457142856
Alzheimer disease	0.397968804	9	0.642857143	5	1	0.8571428572
Amoebiasis	0.56449098	2	0.142857143	2	0.4	0.2971428572
Amphetamine addiction	0.032484727	8	0.571428571	4	0.8	0.7085714284
AMPK signaling pathway	0.095159262	7	0.5	4	0.8	0.68
Amyotrophic lateral sclerosis	0.32489473	5	0.357142857	3	0.6	0.5028571428
Antigen processing and presentation	0.482430876	1	0.071428571	1	0.2	0.1485714284
Apelin signaling pathway	0.609871789	3	0.214285714	2	0.4	0.3257142856
Apoptosis	0.639475371	3	0.214285714	3	0.6	0.4457142856
Arachidonic acid metabolism	0.364027425	3	0.214285714	3	0.6	0.4457142856
Arginine and proline metabolism	0.285858194	2	0.142857143	1	0.2	0.1771428572
Arginine biosynthesis	0.100032581	2	0.142857143	2	0.4	0.2971428572
Arrhythmogenic right ventricular cardiomyopathy	0.169972471	2	0.142857143	2	0.4	0.2971428572
Autophagy	0.738502732	2	0.142857143	2	0.4	0.2971428572
Axon guidance	0.338152986	4	0.285714286	4	0.8	0.5942857144
B cell receptor signaling pathway	0.896048642	1	0.071428571	1	0.2	0.1485714284
Bacterial invasion of epithelial cells	0.738109993	1	0.071428571	1	0.2	0.1485714284
Basal cell carcinoma	0.531143048	1	0.071428571	1	0.2	0.1485714284
beta-Alanine metabolism	0.239931208	1	0.071428571	1	0.2	0.1485714284
Bile secretion	0.416780598	3	0.214285714	2	0.4	0.3257142856
Bladder cancer	0.698613436	2	0.142857143	2	0.4	0.2971428572
Breast cancer	0.523253931	5	0.357142857	3	0.6	0.5028571428
Butanoate metabolism	0.179235048	1	0.071428571	1	0.2	0.1485714284
C-type lectin receptor signaling pathway	0.547338493	4	0.285714286	3	0.6	0.4742857144
Caffeine metabolism	0.239931208	1	0.071428571	1	0.2	0.1485714284
Calcium signaling pathway	0.867799522	9	0.642857143	5	1	0.8571428572
cAMP signaling pathway	0.485166452	11	0.785714286	4	0.8	0.7942857144
Carbohydrate digestion and absorption	0.430458441	2	0.142857143	2	0.4	0.2971428572
Cardiac muscle contraction	0.520729785	1	0.071428571	1	0.2	0.1485714284
Cell cycle	0.393477248	3	0.214285714	3	0.6	0.4457142856
Cellular senescence	0.50224426	4	0.285714286	4	0.8	0.5942857144
Central carbon metabolism in cancer	0.980744912	1	0.071428571	1	0.2	0.1485714284
cGMP-PKG signaling pathway	0.797285223	5	0.357142857	4	0.8	0.6228571428
Chagas disease	0.945718092	1	0.071428571	1	0.2	0.1485714284
Chemical carcinogenesis	0.486687663	10	0.714285714	5	1	0.8857142856
Chemokine signaling pathway	0.976772752	1	0.071428571	1	0.2	0.1485714284
Choline metabolism in cancer	0.960999012	1	0.071428571	1	0.2	0.1485714284
Cholinergic synapse	0.517219412	5	0.357142857	3	0.6	0.5028571428
Chronic myeloid leukemia	0.551107799	3	0.214285714	3	0.6	0.4457142856
Circadian entrainment	0.434065303	3	0.214285714	3	0.6	0.4457142856
Citrate cycle (TCA cycle)	0.161020703	1	0.071428571	1	0.2	0.1485714284
Cocaine addiction	0.16982931	6	0.428571429	2	0.4	0.4114285716
Collecting duct acid secretion	0.453217474	1	0.071428571	1	0.2	0.1485714284
Colorectal cancer	0.855813853	2	0.142857143	2	0.4	0.2971428572
Coronavirus disease	0.982756627	1	0.071428571	1	0.2	0.1485714284
Cortisol synthesis and secretion	0.687755516	1	0.071428571	1	0.2	0.1485714284
Cushing syndrome	0.639475371	3	0.214285714	3	0.6	0.4457142856
D-Glutamine and D-glutamate metabolism	0.042939028	1	0.071428571	1	0.2	0.1485714284
Diabetic cardiomyopathy	0.772897527	3	0.214285714	3	0.6	0.4457142856
Dilated cardiomyopathy	0.515685391	2	0.142857143	2	0.4	0.2971428572
Dopaminergic synapse	0.07649302	9	0.642857143	4	0.8	0.7371428572
Drug metabolism	0.283876078	3	0.214285714	2	0.4	0.3257142856
Endocrine and other factor-regulated calcium reabsorption	0.44523011	2	0.142857143	1	0.2	0.1771428572
Endocytosis	0.890167402	1	0.071428571	1	0.2	0.1485714284
Endometrial cancer	0.925289078	1	0.071428571	1	0.2	0.1485714284
Epithelial cell signaling in Helicobacter pylori infection	0.710174244	2	0.142857143	2	0.4	0.2971428572
Epstein-Barr virus infection	0.566924218	4	0.285714286	3	0.6	0.4742857144
ErbB signaling pathway	0.965069832	1	0.071428571	1	0.2	0.1485714284
Estrogen signaling pathway	0.609367131	5	0.357142857	3	0.6	0.5028571428
Fc epsilon RI signaling pathway	0.933080348	1	0.071428571	1	0.2	0.1485714284
Fc gamma R-mediated phagocytosis	0.855386618	1	0.071428571	1	0.2	0.1485714284
Fluid shear stress and atherosclerosis	0.828378455	3	0.214285714	2	0.4	0.3257142856
Focal adhesion	0.945378346	2	0.142857143	2	0.4	0.2971428572
