indication	p_value	Freq	normalised_freq	count_lists_with_drugs	normalised_count_lists_with_drugs	score
hypertension	2.07e-06	31	1	8	1	1
depression	0.000265722	13	0.419354839	6	0.75	0.6177419356
edema	1.05e-07	11	0.35483871	3	0.375	0.366935484
Parkinson's Disease	4.34e-05	11	0.35483871	5	0.625	0.516935484
congestive heart failure	0.003932315	10	0.322580645	5	0.625	0.504032258
seizures	6.02e-05	9	0.290322581	1	0.125	0.1911290324
asthma	0.061895759	8	0.258064516	4	0.5	0.4032258064
benign prostatic hyperplasia (BPH)	1.22e-05	6	0.193548387	1	0.125	0.1524193548
nephrotic syndrome	3.38e-05	6	0.193548387	3	0.375	0.3024193548
obsessive compulsive disorder (OCD)	0	6	0.193548387	2	0.25	0.2274193548
Alzheimer's disease	0.000255553	5	0.161290323	2	0.25	0.2145161292
angina pectoris	0.058460847	5	0.161290323	4	0.5	0.3645161292
panic disorders	0	5	0.161290323	2	0.25	0.2145161292
skin infections	0.789529039	5	0.161290323	4	0.5	0.3645161292
bronchitis	0.387642728	4	0.129032258	2	0.25	0.2016129032
migraine headache	0.084713648	4	0.129032258	4	0.5	0.3516129032
schizophrenia	0.655163248	4	0.129032258	4	0.5	0.3516129032
social anxiety disorder	0	4	0.129032258	2	0.25	0.2016129032
urinary tract infections	0.911232843	4	0.129032258	4	0.5	0.3516129032
bipolar disorder	0.125094898	3	0.096774194	1	0.125	0.1137096776
bronchospasm	0.040257453	3	0.096774194	1	0.125	0.1137096776
chronic renal failure	0.002697255	3	0.096774194	1	0.125	0.1137096776
chronic stable angina	0.002697255	3	0.096774194	2	0.25	0.1887096776
corticosteroid-responsive dermatoses	0.317196338	3	0.096774194	2	0.25	0.1887096776
eczema	0.168928269	3	0.096774194	3	0.375	0.2637096776
epilepsy	0.125094898	3	0.096774194	1	0.125	0.1137096776
generalized anxiety disorder (GAD)	0.019209038	3	0.096774194	2	0.25	0.1887096776
hepatic cirrhosis	0.028715353	3	0.096774194	1	0.125	0.1137096776
itching	0.069151096	3	0.096774194	3	0.375	0.2637096776
menopause	0.125094898	3	0.096774194	3	0.375	0.2637096776
organ rejection	0.006293727	3	0.096774194	2	0.25	0.1887096776
pneumonia	0.80878187	3	0.096774194	3	0.375	0.2637096776
posttraumatic stress disorder	0.000722701	3	0.096774194	2	0.25	0.1887096776
respiratory tract infections	0.601895463	3	0.096774194	3	0.375	0.2637096776
senile dementia	0.104970359	3	0.096774194	2	0.25	0.1887096776
sinusitis	0.146471596	3	0.096774194	3	0.375	0.2637096776
acne vulgaris (AV)	0.36318709	2	0.064516129	2	0.25	0.1758064516
acute glomerulonephritis (AGN)	0.022777555	2	0.064516129	1	0.125	0.1008064516
attention-deficit/hyperactivity disorder (ADHD)	0.067233942	2	0.064516129	2	0.25	0.1758064516
contraceptive	0.649875148	2	0.064516129	2	0.25	0.1758064516
Crohn's disease	0.022777555	2	0.064516129	2	0.25	0.1758064516
diabetes mellitus	0.887190493	2	0.064516129	2	0.25	0.1758064516
diabetic nephropathy	0.094974681	2	0.064516129	2	0.25	0.1758064516
