indication	p_value	Freq	normalised_freq	score
Parkinson's Disease	6.19e-13	13	1	1
Alzheimer's disease	4.17e-05	4	0.307692308	0.307692308
smoking cessation	0.002418828	2	0.153846154	0.153846154
attention-deficit/hyperactivity disorder (ADHD)	0.007762471	2	0.153846154	0.153846154
restless leg syndrome	0.007762471	2	0.153846154	0.153846154
acetaminophen overdose	0.028791774	1	0.076923077	0.076923077
cycloplegia diagnostic	0.028791774	1	0.076923077	0.076923077
dizziness	0.028791774	1	0.076923077	0.076923077
fescue toxicosis	0.028791774	1	0.076923077	0.076923077
Friedreich's ataxia	0.028791774	1	0.076923077	0.076923077
hepatic injury	0.028791774	1	0.076923077	0.076923077
Leber hereditary optic neuropathy (LHON)	0.028791774	1	0.076923077	0.076923077
mydriasis diagnostic	0.028791774	1	0.076923077	0.076923077
pelvic inflammatory disease	0.031792954	2	0.153846154	0.153846154
urinary incontinence	0.031792954	2	0.153846154	0.153846154
senile dementia	0.052108976	2	0.153846154	0.153846154
thalassemia	0.056761772	1	0.076923077	0.076923077
transfusional hemosiderosis	0.056761772	1	0.076923077	0.076923077
vitamin D deficiency	0.056761772	1	0.076923077	0.076923077
bipolar disorder	0.059675739	2	0.153846154	0.153846154
constipation	0.075835587	2	0.153846154	0.153846154
diphtheria	0.083933243	1	0.076923077	0.076923077
drowsiness	0.083933243	1	0.076923077	0.076923077
erythrasma	0.083933243	1	0.076923077	0.076923077
gallstones	0.083933243	1	0.076923077	0.076923077
iron overload	0.083933243	1	0.076923077	0.076923077
narcolepsy	0.083933243	1	0.076923077	0.076923077
tremors	0.083933243	1	0.076923077	0.076923077
urinary frequency	0.083933243	1	0.076923077	0.076923077
sedative	0.084377724	2	0.153846154	0.153846154
myocardial infarction	0.102267681	2	0.153846154	0.153846154
coronary heart disease	0.110328786	1	0.076923077	0.076923077
dyskinesia	0.110328786	1	0.076923077	0.076923077
listeria	0.110328786	1	0.076923077	0.076923077
surgical prophylaxis	0.110328786	1	0.076923077	0.076923077
seizures	0.130792749	2	0.153846154	0.153846154
abstinence from alcohol	0.135970365	1	0.076923077	0.076923077
syphilis	0.135970365	1	0.076923077	0.076923077
chlamydia	0.160879328	1	0.076923077	0.076923077
fatigue	0.160879328	1	0.076923077	0.076923077
Paget's disease	0.160879328	1	0.076923077	0.076923077
depression	0.166027581	3	0.230769231	0.230769231
schizophrenia	0.166027581	3	0.230769231	0.230769231
generalized anxiety disorder (GAD)	0.185076422	1	0.076923077	0.076923077
benign prostatic hyperplasia (BPH)	0.208581815	1	0.076923077	0.076923077
hypercholesterolemia	0.208581815	1	0.076923077	0.076923077
erectile dysfunction	0.231415107	1	0.076923077	0.076923077
amebiasis	0.253595346	1	0.076923077	0.076923077
chronic myeloid leukemia (CML)	0.275141047	1	0.076923077	0.076923077
gonorrhea	0.275141047	1	0.076923077	0.076923077
influenza A virus infection	0.275141047	1	0.076923077	0.076923077
hyperlipidemia	0.316400307	1	0.076923077	0.076923077
hypotension	0.316400307	1	0.076923077	0.076923077
ventricular arrhythmias	0.316400307	1	0.076923077	0.076923077
bone and joint infections	0.336148351	1	0.076923077	0.076923077
epilepsy	0.336148351	1	0.076923077	0.076923077
headache	0.336148351	1	0.076923077	0.076923077
anesthetic	0.355330855	1	0.076923077	0.076923077
otitis	0.373963873	1	0.076923077	0.076923077
bacterial septicemia	0.392063007	1	0.076923077	0.076923077
multiple sclerosis	0.392063007	1	0.076923077	0.076923077
muscle pain	0.392063007	1	0.076923077	0.076923077
hypertension	0.394684384	5	0.384615385	0.384615385
cough suppressant	0.426719851	1	0.076923077	0.076923077
irritable bowel syndrome	0.426719851	1	0.076923077	0.076923077
stroke	0.443306618	1	0.076923077	0.076923077
intra-abdominal infections	0.475066446	1	0.076923077	0.076923077
meningitis	0.475066446	1	0.076923077	0.076923077
vomiting	0.519369153	1	0.076923077	0.076923077
nausea	0.572724715	1	0.076923077	0.076923077
skin infections	0.620061058	2	0.153846154	0.153846154
respiratory tract infections	0.631232757	1	0.076923077	0.076923077
bronchitis	0.641943839	1	0.076923077	0.076923077
diabetes mellitus	0.691045419	1	0.076923077	0.076923077
pneumonia	0.748768812	1	0.076923077	0.076923077
rheumatoid arthritis	0.834067211	1	0.076923077	0.076923077
urinary tract infections	0.887265049	1	0.076923077	0.076923077
