moa	p_value	Freq	normalised_freq	count_lists_with_drugs	normalised_count_lists_with_drugs	score
adrenergic receptor agonist	4.8e-07	15	1	6	0.857142857	0.9142857142
adrenergic receptor antagonist	0.000479984	12	0.8	7	1	0.92
acetylcholine receptor antagonist	0.009565538	8	0.533333333	5	0.714285714	0.6419047616
calcium channel blocker	0.000276502	8	0.533333333	4	0.571428571	0.5561904758
glucocorticoid receptor agonist	0.000240026	8	0.533333333	4	0.571428571	0.5561904758
serotonin receptor antagonist	0.040746519	8	0.533333333	4	0.571428571	0.5561904758
dopamine receptor agonist	0.000612123	7	0.466666667	4	0.571428571	0.5295238094
estrogen receptor agonist	3.84e-05	7	0.466666667	4	0.571428571	0.5295238094
acetylcholinesterase inhibitor	0.002212907	5	0.333333333	3	0.428571429	0.3904761906
selective serotonin reuptake inhibitor (SSRI)	4.39e-05	5	0.333333333	2	0.285714286	0.3047619048
adrenergic inhibitor	6.24e-06	4	0.266666667	2	0.285714286	0.2780952384
dopamine receptor antagonist	0.386856083	4	0.266666667	4	0.571428571	0.4495238094
glutamate receptor antagonist	0.332520082	4	0.266666667	3	0.428571429	0.3638095242
diuretic	0.001891458	3	0.2	2	0.285714286	0.2514285716
KIT inhibitor	0.028543073	3	0.2	2	0.285714286	0.2514285716
norepinephrine reuptake inhibitor	0.002766623	3	0.2	2	0.285714286	0.2514285716
PDGFR tyrosine kinase receptor inhibitor	0.086027806	3	0.2	2	0.285714286	0.2514285716
phosphodiesterase inhibitor	0.561756232	3	0.2	3	0.428571429	0.3371428574
RET tyrosine kinase inhibitor	0.001891458	3	0.2	3	0.428571429	0.3371428574
serotonin reuptake inhibitor	0.001891458	3	0.2	3	0.428571429	0.3371428574
VEGFR inhibitor	0.266695959	3	0.2	3	0.428571429	0.3371428574
angiotensin receptor antagonist	0.100377825	2	0.133333333	2	0.285714286	0.2247619048
ATPase inhibitor	0.270110952	2	0.133333333	1	0.142857143	0.139047619
bacterial 30S ribosomal subunit inhibitor	0.257410554	2	0.133333333	2	0.285714286	0.2247619048
carbonic anhydrase inhibitor	0.134039401	2	0.133333333	2	0.285714286	0.2247619048
DNA synthesis inhibitor	0.358144653	2	0.133333333	2	0.285714286	0.2247619048
dopamine precursor	0.00114171	2	0.133333333	2	0.285714286	0.2247619048
