pathway	p_value	Freq.x	normalised_freq	score
Cocaine addiction	2.37e-09	27	0.574468085	0.574468085
Alcoholism	3.04e-09	31	0.659574468	0.659574468
Dopaminergic synapse	1.48e-08	31	0.659574468	0.659574468
Parkinson disease	5.02e-08	26	0.553191489	0.553191489
Amphetamine addiction	1.85e-06	22	0.468085106	0.468085106
Morphine addiction	8.02e-06	20	0.425531915	0.425531915
Serotonergic synapse	2.47e-05	31	0.659574468	0.659574468
Rap1 signaling pathway	3.2e-05	30	0.638297872	0.638297872
Nicotine addiction	7.17e-05	13	0.276595745	0.276595745
Taste transduction	0.000124921	21	0.446808511	0.446808511
cAMP signaling pathway	0.000206263	37	0.787234043	0.787234043
Systemic lupus erythematosus	0.000693346	7	0.14893617	0.14893617
Neuroactive ligand-receptor interaction	0.000852902	47	1	1
Calcium signaling pathway	0.001817192	38	0.808510638	0.808510638
Gap junction	0.003641103	22	0.468085106	0.468085106
cGMP-PKG signaling pathway	0.003724867	23	0.489361702	0.489361702
Circadian entrainment	0.005698475	11	0.234042553	0.234042553
Tyrosine metabolism	0.009976084	6	0.127659574	0.127659574
Ferroptosis	0.015154648	3	0.063829787	0.063829787
Pathways of neurodegeneration	0.020073586	25	0.531914894	0.531914894
Glutamatergic synapse	0.025811808	10	0.212765957	0.212765957
Vascular smooth muscle contraction	0.029031941	14	0.29787234	0.29787234
Prion disease	0.029787644	12	0.255319149	0.255319149
Synaptic vesicle cycle	0.030801701	6	0.127659574	0.127659574
Pancreatic secretion	0.032779513	10	0.212765957	0.212765957
Phenylalanine metabolism	0.035000262	4	0.085106383	0.085106383
Spinocerebellar ataxia	0.039229672	10	0.212765957	0.212765957
Salivary secretion	0.039812893	13	0.276595745	0.276595745
Amyotrophic lateral sclerosis	0.04990546	12	0.255319149	0.255319149
AMPK signaling pathway	0.058286252	12	0.255319149	0.255319149
Cholinergic synapse	0.0622446	14	0.29787234	0.29787234
Phototransduction	0.066560642	2	0.042553191	0.042553191
Viral myocarditis	0.076610499	3	0.063829787	0.063829787
Adrenergic signaling in cardiomyocytes	0.079232113	14	0.29787234	0.29787234
Ras signaling pathway	0.081093347	16	0.340425532	0.340425532
Huntington disease	0.093972274	11	0.234042553	0.234042553
Dilated cardiomyopathy	0.102377805	6	0.127659574	0.127659574
Alzheimer disease	0.105059854	20	0.425531915	0.425531915
Gastric acid secretion	0.109876347	9	0.191489362	0.191489362
Inflammatory mediator regulation of TRP channels	0.113176927	14	0.29787234	0.29787234
Steroid hormone biosynthesis	0.118592366	5	0.106382979	0.106382979
Terpenoid backbone biosynthesis	0.1226506	2	0.042553191	0.042553191
Long-term potentiation	0.145308697	8	0.170212766	0.170212766
Bile secretion	0.147385396	7	0.14893617	0.14893617
Taurine and hypotaurine metabolism	0.150741789	1	0.021276596	0.021276596
Insulin secretion	0.163675082	8	0.170212766	0.170212766
Cysteine and methionine metabolism	0.164483915	2	0.042553191	0.042553191
Cortisol synthesis and secretion	0.167692576	4	0.085106383	0.085106383
Homologous recombination	0.167912315	1	0.021276596	0.021276596
Non-homologous end-joining	0.184735946	1	0.021276596	0.021276596
Legionellosis	0.199050258	3	0.063829787	0.063829787
Ribosome biogenesis in eukaryotes	0.201219684	1	0.021276596	0.021276596
Phenylalanine, tyrosine and tryptophan biosynthesis	0.217370392	1	0.021276596	0.021276596
Cytosolic DNA-sensing pathway	0.223229705	2	0.042553191	0.042553191
Glutathione metabolism	0.223229705	2	0.042553191	0.042553191
Glycerophospholipid metabolism	0.230659691	3	0.063829787	0.063829787
Regulation of lipolysis in adipocytes	0.235494525	10	0.212765957	0.212765957
Ascorbate and aldarate metabolism	0.248699472	1	0.021276596	0.021276596
Retrograde endocannabinoid signaling	0.259821461	10	0.212765957	0.212765957
Drug metabolism	0.261420363	5	0.106382979	0.106382979
Amoebiasis	0.272933761	5	0.106382979	0.106382979
Histidine metabolism	0.275750748	2	0.042553191	0.042553191
Porphyrin and chlorophyll metabolism	0.278775362	1	0.021276596	0.021276596
Glycine, serine and threonine metabolism	0.28326093	2	0.042553191	0.042553191
Tryptophan metabolism	0.296044803	3	0.063829787	0.063829787
Renin secretion	0.300962283	8	0.170212766	0.170212766
Leishmaniasis	0.306353253	7	0.14893617	0.14893617
Type II diabetes mellitus	0.307951043	6	0.127659574	0.127659574
NF-kappa B signaling pathway	0.312766256	7	0.14893617	0.14893617
Metabolism of xenobiotics by cytochrome P450	0.323681518	3	0.063829787	0.063829787
ECM-receptor interaction	0.335365936	1	0.021276596	0.021276596
Mineral absorption	0.342856537	2	0.042553191	0.042553191
Vibrio cholerae infection	0.35753389	2	0.042553191	0.042553191
Aldosterone synthesis and secretion	0.360087685	4	0.085106383	0.085106383
Arachidonic acid metabolism	0.367690757	5	0.106382979	0.106382979
Asthma	0.387519315	1	0.021276596	0.021276596
Cardiac muscle contraction	0.393666923	2	0.042553191	0.042553191
Pentose and glucuronate interconversions	0.399905705	1	0.021276596	0.021276596
Arrhythmogenic right ventricular cardiomyopathy	0.400784476	2	0.042553191	0.042553191
Allograft rejection	0.423932626	1	0.021276596	0.021276596
Hypertrophic cardiomyopathy	0.42760414	3	0.063829787	0.063829787
Graft-versus-host disease	0.435583164	1	0.021276596	0.021276596
Thyroid hormone synthesis	0.442612207	2	0.042553191	0.042553191
Base excision repair	0.446998257	1	0.021276596	0.021276596
Cell adhesion molecules	0.458182659	1	0.021276596	0.021276596
Inflammatory bowel disease	0.462912126	2	0.042553191	0.042553191
Retinol metabolism	0.482769934	2	0.042553191	0.042553191
Sphingolipid signaling pathway	0.500173469	8	0.170212766	0.170212766
Staphylococcus aureus infection	0.500705131	1	0.021276596	0.021276596
Chemical carcinogenesis	0.505055658	18	0.382978723	0.382978723
Pyruvate metabolism	0.510804106	1	0.021276596	0.021276596
Purine metabolism	0.515477043	3	0.063829787	0.063829787
Complement and coagulation cascades	0.520698969	1	0.021276596	0.021276596
Nicotinate and nicotinamide metabolism	0.520698969	1	0.021276596	0.021276596
Type I diabetes mellitus	0.520698969	1	0.021276596	0.021276596
