drug name	moa
(r)-(-)-apomorphine	dopamine receptor agonist
(r)-(-)-rolipram	phosphodiesterase inhibitor
(r)-baclofen	benzodiazepine receptor agonist
(s)-(+)-rolipram	phosphodiesterase inhibitor
"[sar9,met(o2)11]-substance-p"	tachykinin antagonist
"1-(1,2-diphenylethyl)piperidine-(+/-)"	glutamate receptor antagonist
"1,12-besm"	polyamine biosynthesis inhibitor
"1,2,3,4,5,6-hexabromocyclohexane"	JAK inhibitor
"1,3-dipropyl-8-phenylxanthine"	adenosine receptor antagonist
"1,4-butanediol"	benzodiazepine receptor agonist
"1,4-butanediol"	gamma hydroxybutyric acid agonist
10058-f4	c-Myc inhibitor
10-deacetylbaccatin	antitumor agent
10-debc	AKT inhibitor
10-hydroxycamptothecin	topoisomerase inhibitor
12-o-tetradecanoylphorbol-13-acetate	PKC activator
1400w	nitric oxide synthase inhibitor
"16,16-dimethylprostaglandin-e2"	prostanoid receptor agonist
17-hydroxyprogesterone-caproate	progesterone receptor agonist
17-pa	glucocorticoid receptor agonist
1-acetyl-4-methylpiperazine	acetylcholine receptor agonist
1-azakenpaullone	glycogen synthase kinase inhibitor
1-deoxymannojirimycin	alpha mannosidase inhibitor
1-ebio	potassium channel activator
1-ethyl-2-pyrrolidone	transdermal absorption-enhancing compound
1-hexadecanal	sphingosine 1-phosphate receptor substrate
1-naphthyl-pp1	SRC inhibitor
1-phenylbiguanide	serotonin receptor agonist
"1s,2r-phenylpropanolamine"	adrenergic receptor agonist
2-(3-mercaptopropyl)pentanedioic-acid	glutamate carboxypeptidase inhibitor
"2,3-dcpe"	BCL-XL downregulator
"2,4-dinitrochlorobenzene"	thioredoxin inhibitor
"2,4-dinitrophenol"	ATP synthase inhibitor
"2,5-furandimethanol"	hemoglobin modulator
2-[1-(4-piperonyl)piperazinyl]benzothiazole	serotonin receptor agonist
20-hete	ion channel antagonist
20-hydroxyecdysone	ecdysone receptor modulator
2-aminobenzenesulfonamide	carbonic anhydrase inhibitor
2-apb	"1,4,5-trisphosphate inhibitor"
2-bfi	imidazoline receptor ligand
2-chloroadenosine	adenosine receptor agonist
2-chloro-n6-cyclopentyladenosine	adenosine receptor agonist
2-cmdo	dopamine receptor antagonist
2'-c-methylguanosine	HCV inhibitor
2-deoxyglucose	glycolysis inhibitor
2-ethoxybenzoic-acid	analgesic agent
2-hydroxyflutamide	androgen receptor antagonist
2-hydroxysaclofen	GABA receptor antagonist
2-iminobiotin	nitric oxide synthase inhibitor
2-iodomelatonin	melatonin receptor agonist
2'-meccpa	adenosine receptor agonist
2-methoxyestradiol	hypoxia inducible factor inhibitor
2-methyl-5-hydroxytryptamine	serotonin receptor agonist
2-methylimidazole	cholesterol inhibitor
2-oleoylglycerol	glucose dependent insulinotropic receptor ligand
2-oxopropanoate	pyruvate dehydrogenase kinase inhibitor
2-phenylmelatonin	melatonin receptor agonist
2-pmdq	adrenergic receptor antagonist
2-pyridylethylamine	histamine receptor agonist
2-tedc	lipoxygenase inhibitor
3-(4-methylbenzylidene)camphor	endocrine disruptor
"3,3'-dichlorobenzaldazine"	glutamate receptor modulator
"3,3'-diindolylmethane"	CHK inhibitor
"3,3'-diindolylmethane"	cytochrome P450 activator
"3,3'-diindolylmethane"	"indoleamine 2,3-dioxygenase inhibitor"
"3,4-dcpg-(+/-)"	glutamate receptor agonist
"3,4-dcpg-(r)"	glutamate receptor antagonist
"3,4-dcpg-(s)"	glutamate receptor agonist
"3,4-methylenedioxy-beta-nitrostyrene"	SRC inhibitor
"3,4-methylenedioxy-beta-nitrostyrene"	SYK inhibitor
"3,5-dhpg-(s)"	glutamate receptor agonist
3-alpha-bis-(4-fluorophenyl)-methoxytropane	dopamine uptake inhibitor
3-amino-benzamide	PARP inhibitor
3-aqc	serotonin receptor agonist
3-bromo-7-nitroindazole	nitric oxide synthase inhibitor
3-bromopyruvate	hexokinase inhibitor
3-carboxy-4-hydroxyphenylglycine-(r)	glutamate receptor antagonist
3-carboxy-4-hydroxyphenylglycine-(s)	glutamate receptor antagonist
3-cpmt	dopamine reuptake inhibitor
3-deazaadenosine	adenosylhomocysteinase inhibitor
3-deazaneplanocin-a	histone lysine methyltransferase inhibitor
3-deazauridine	cytidine deaminase inhibitor
3'-fluorobenzylspiperone	dopamine receptor ligand
3-hydroxy-3-phenylpentanamide	GABA receptor modulator
3-matida	glutamate receptor antagonist
3-methyladenine	PI3K inhibitor
3-methyl-gaba	GABA aminotransferase activator
3-mppi	adrenergic receptor ligand
3po	phosphofructokinase inhibitor
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine	serotonin receptor antagonist
4-(aminomethyl)benzoic-acid	hemostatic agent
"4,4-pentamethylenepiperidine"	M2 channel blocker
"4,5,6,7-tetrabromobenzotriazole"	casein kinase inhibitor
"4-acetyl-1,1-dimethylpiperazinium"	acetylcholine receptor agonist
4bp-tqs	nicotinic receptor agonist
4-carboxy-3-hydroxyphenylglycine-(rs)	glutamate receptor agonist
4-carboxy-3-hydroxyphenylglycine-(rs)	glutamate receptor antagonist
4-carboxy-3-hydroxyphenylglycine-(s)	glutamate receptor agonist
4-carboxy-3-hydroxyphenylglycine-(s)	glutamate receptor antagonist
4-chlorophenylguanidine	urokinase inhibitor
4-cmtb	free fatty acid receptor agonist
4-damp	cholinergic receptor antagonist
4e1rcat	protein synthesis inhibitor
4egi-1	protein synthesis inhibitor
4-hqn	PARP inhibitor
4-ibp	sigma receptor agonist
